Player,Team,Season,Season Type,Games,Distance Per Game,Distance Per 36 min,Avg. Speed,Touches Per 36 min,Pass Per 36 min,Secondary Assists Per 36 min,FT Assists Per 36 min,Off. Reb Success Rate,Def. Reb Success Rate,Contested FG %,Uncontested FG %,Uncontested FG Usage,FGs Defended at Rim %
DeMar DeRozan,Raptors,2014-2015,REG,60,2.352,2.418,4.031,58.07,33.68,0.891,0.24,0.466,0.648,0.398,0.449,0.304,0.583
Louis Williams,Raptors,2014-2015,REG,80,1.608,2.298,3.829,57.406,33.74,1.125,0.322,0.511,0.679,0.415,0.401,0.476,0.684
Amir Johnson,Raptors,2014-2015,REG,75,1.752,2.39,3.983,58.527,45.246,0.71,0.255,0.459,0.528,0.573,0.577,0.237,0.526
Tyler Hansbrough,Raptors,2014-2015,REG,74,0.965,2.431,4.052,38.021,28.797,0.511,0.102,0.473,0.592,0.526,0.56,0.156,0.582
James Johnson,Raptors,2014-2015,REG,70,1.334,2.453,4.089,45.226,29.905,0.447,0.21,0.56,0.645,0.658,0.437,0.312,0.532
Patrick Patterson,Raptors,2014-2015,REG,81,1.756,2.374,3.957,59.551,48.282,0.551,0.184,0.686,0.642,0.462,0.44,0.65,0.499
Greivis Vasquez,Raptors,2014-2015,REG,82,1.654,2.452,4.087,85.756,66.207,1.664,0.615,0.5,0.662,0.399,0.416,0.55,0.526
Terrence Ross,Raptors,2014-2015,REG,82,1.795,2.533,4.221,36.003,20.686,0.241,0.189,0.717,0.638,0.414,0.4,0.502,0.496
Jonas Valanciunas,Raptors,2014-2015,REG,80,1.714,2.356,3.926,52.182,35.692,0.258,0.017,0.498,0.643,0.571,0.577,0.17,0.469
D.J. Augustin,"Pistons, Thunder",2014-2015,REG,82,1.608,2.417,4.028,80.348,59.926,1.76,0.495,0.426,0.734,0.38,0.43,0.44,0.694
Kyle Singler,"Pistons, Thunder",2014-2015,REG,80,1.616,2.669,4.448,45.319,33.86,0.475,0.124,0.516,0.537,0.328,0.425,0.604,0.505
Josh Smith,"Pistons, Rockets",2014-2015,REG,83,1.702,2.21,3.684,63.923,42.094,0.673,0.501,0.535,0.577,0.441,0.385,0.409,0.452
Jonas Jerebko,"Pistons, Celtics",2014-2015,REG,75,1.163,2.552,4.253,62.07,47.379,0.673,0.176,0.541,0.583,0.472,0.422,0.558,0.506
John Lucas III,Pistons,2014-2015,REG,21,0.92,2.558,4.263,87.698,68.754,1.987,1.192,0.308,0.571,0.4,0.375,0.49,0.5
Brandon Jennings,Pistons,2014-2015,REG,41,2.039,2.566,4.276,91.165,65.535,1.596,0.798,0.356,0.669,0.371,0.414,0.473,0.606
Greg Monroe,Pistons,2014-2015,REG,69,1.988,2.311,3.852,60.776,40.006,0.522,0.202,0.623,0.678,0.481,0.613,0.128,0.542
Jodie Meeks,Pistons,2014-2015,REG,60,1.751,2.587,4.311,39.56,21.762,0.615,0.197,0.4,0.724,0.393,0.445,0.483,0.64
Spencer Dinwiddie,Pistons,2014-2015,REG,34,0.927,2.493,4.155,88.817,67.305,1.345,0.633,0.4,0.846,0.347,0.235,0.402,0.429
Caron Butler,Pistons,2014-2015,REG,78,1.38,2.387,3.979,52.377,41.29,0.288,0.2,0.438,0.559,0.413,0.405,0.527,0.607
Kentavious Caldwell-Pope,Pistons,2014-2015,REG,82,2.208,2.52,4.2,42.654,26.01,0.571,0.209,0.495,0.637,0.395,0.409,0.521,0.609
Andre Drummond,Pistons,2014-2015,REG,82,1.984,2.341,3.901,42.822,24.836,0.389,0.029,0.694,0.727,0.485,0.691,0.131,0.476
Austin Rivers,"Pelicans, Clippers",2014-2015,REG,76,1.447,2.533,4.222,57.696,41.573,0.53,0.115,0.5,0.568,0.428,0.364,0.429,0.514
John Salmons,Pelicans,2014-2015,REG,21,0.856,2.4,4,35.907,27.898,0.4,0,0.8,0.472,0.182,0.378,0.771,0.6
Anthony Davis,Pelicans,2014-2015,REG,68,2.285,2.278,3.797,58.091,34.861,0.381,0.191,0.623,0.71,0.553,0.501,0.384,0.473
Luke Babbitt,Pelicans,2014-2015,REG,63,0.952,2.602,4.337,42.918,32.243,0.174,0.087,0.462,0.553,0.379,0.512,0.69,0.545
Alexis Ajinca,Pelicans,2014-2015,REG,68,0.908,2.325,3.874,53.215,34.699,0.263,0.113,0.578,0.637,0.561,0.522,0.275,0.528
Ryan Anderson,Pelicans,2014-2015,REG,61,1.765,2.314,3.856,54.558,34.545,0.237,0.129,0.556,0.574,0.458,0.363,0.614,0.57
Toney Douglas,Pelicans,2014-2015,REG,12,1.123,2.746,4.577,55.656,39.551,0.816,0.204,0.5,0.69,0.48,0.269,0.51,0.4
Eric Gordon,Pelicans,2014-2015,REG,61,2.205,2.4,4,48.538,31.217,1.124,0.696,0.56,0.627,0.366,0.438,0.584,0.578
Omer Asik,Pelicans,2014-2015,REG,76,1.636,2.259,3.764,54.276,41.543,0.436,0.055,0.53,0.669,0.501,0.61,0.101,0.516
Jrue Holiday,Pelicans,2014-2015,REG,40,2.265,2.503,4.172,78.599,57.796,1.216,0.912,0.604,0.602,0.465,0.398,0.403,0.5
Dante Cunningham,Pelicans,2014-2015,REG,66,1.842,2.649,4.415,40.224,30.898,0.458,0.044,0.449,0.633,0.44,0.47,0.584,0.538
Tyreke Evans,Pelicans,2014-2015,REG,79,2.217,2.344,3.907,77.746,54.204,0.883,0.736,0.434,0.679,0.445,0.449,0.324,0.578
A.J. Price,"Pacers, Cavaliers, Suns",2014-2015,REG,26,0.798,2.31,3.85,78.117,57.975,1.78,0.445,0.5,0.565,0.321,0.429,0.386,0.714
Rodney Stuckey,Pacers,2014-2015,REG,71,1.725,2.354,3.923,67.331,45.483,1.038,0.365,0.59,0.667,0.418,0.471,0.394,0.525
David West,Pacers,2014-2015,REG,66,1.673,2.097,3.495,80.724,60.78,0.722,0.418,0.565,0.665,0.453,0.487,0.525,0.543
CJ Watson,Pacers,2014-2015,REG,57,1.773,2.558,4.264,81.901,63.748,1.494,0.329,0.45,0.697,0.384,0.463,0.573,0.377
Solomon Hill,Pacers,2014-2015,REG,82,1.898,2.353,3.922,51.543,36.998,0.711,0.227,0.519,0.685,0.403,0.396,0.437,0.565
George Hill,Pacers,2014-2015,REG,43,1.985,2.425,4.042,89.04,65.487,2.131,0.654,0.455,0.681,0.494,0.454,0.493,0.526
Roy Hibbert,Pacers,2014-2015,REG,76,1.567,2.225,3.709,56.081,37.337,0.505,0.15,0.569,0.64,0.452,0.427,0.273,0.424
Damjan Rudez,Pacers,2014-2015,REG,68,0.996,2.328,3.88,38.255,27.153,0.516,0.241,0.8,0.591,0.466,0.449,0.707,0.462
Donald Sloan,Pacers,2014-2015,REG,53,1.364,2.352,3.92,84.149,66.389,1.757,0.651,0.5,0.621,0.413,0.397,0.357,0.46
Chris Copeland,Pacers,2014-2015,REG,50,1.1,2.393,3.988,48.504,30.32,0.522,0.174,0.535,0.704,0.395,0.343,0.498,0.525
Luis Scola,Pacers,2014-2015,REG,81,1.435,2.523,4.204,75.578,54.747,0.76,0.195,0.471,0.683,0.492,0.423,0.397,0.492
CJ Miles,Pacers,2014-2015,REG,70,1.706,2.334,3.891,47.592,27.785,0.45,0.215,0.409,0.705,0.407,0.381,0.466,0.494
Paul George,Pacers,2014-2015,REG,6,1.028,2.443,4.072,60.583,32.073,0.792,0.396,0.444,0.75,0.423,0.304,0.469,0.429
Lavoy Allen,Pacers,2014-2015,REG,63,1.075,2.278,3.797,57.867,44.208,0.774,0.336,0.534,0.629,0.536,0.41,0.507,0.481
Ian Mahinmi,Pacers,2014-2015,REG,61,1.236,2.368,3.947,47.566,37.45,0.723,0.063,0.52,0.69,0.577,0.409,0.213,0.458
Arron Afflalo,"Nuggets, Trail Blazers",2014-2015,REG,78,2.173,2.44,4.066,42.352,25.846,0.676,0.187,0.551,0.712,0.419,0.427,0.397,0.567
Alonzo Gee,"Nuggets, Trail Blazers",2014-2015,REG,54,0.886,2.605,4.341,40.601,26.342,0.381,0.272,0.468,0.594,0.473,0.466,0.399,0.5
Nate Robinson,"Nuggets, Clippers",2014-2015,REG,42,0.967,2.475,4.124,70.851,47.945,1.097,0.548,0.425,0.702,0.304,0.394,0.514,0.636
Timofey Mozgov,"Nuggets, Cavaliers",2014-2015,REG,81,1.79,2.551,4.252,51.688,36.659,0.651,0.106,0.511,0.61,0.555,0.571,0.266,0.466
Darrell Arthur,Nuggets,2014-2015,REG,58,1.12,2.367,3.945,51.388,34.222,0.401,0.328,0.558,0.551,0.478,0.369,0.7,0.503
Danilo Gallinari,Nuggets,2014-2015,REG,59,1.573,2.344,3.907,51.736,31.865,0.631,0.278,0.525,0.675,0.438,0.373,0.601,0.552
JJ Hickson,Nuggets,2014-2015,REG,73,1.313,2.445,4.076,52.904,35.584,0.408,0.128,0.575,0.679,0.446,0.587,0.203,0.543
Randy Foye,Nuggets,2014-2015,REG,50,1.469,2.434,4.056,52.153,34.029,0.762,0.663,0.563,0.568,0.397,0.351,0.614,0.542
Gary Harris,Nuggets,2014-2015,REG,55,0.923,2.543,4.238,34.405,19.732,0.551,0.25,0.477,0.531,0.271,0.304,0.539,0.617
Kenneth Faried,Nuggets,2014-2015,REG,75,1.904,2.464,4.107,52.482,34.534,0.397,0.207,0.512,0.665,0.499,0.52,0.171,0.544
Wilson Chandler,Nuggets,2014-2015,REG,78,2.147,2.44,4.066,52.969,34.773,0.67,0.204,0.558,0.653,0.44,0.409,0.416,0.598
Jusuf Nurkic,Nuggets,2014-2015,REG,62,1.206,2.441,4.068,58.927,40.296,0.685,0.261,0.51,0.659,0.442,0.484,0.168,0.494
Ty Lawson,Nuggets,2014-2015,REG,75,2.315,2.345,3.909,81.641,60.613,1.324,0.932,0.506,0.693,0.449,0.426,0.498,0.551
Kevin Garnett,"Nets, Timberwolves",2014-2015,REG,47,1.352,2.401,4.002,75.4,60.585,0.945,0.34,0.676,0.751,0.406,0.515,0.565,0.515
Bojan Bogdanovic,Nets,2014-2015,REG,78,1.655,2.507,4.179,36.101,21.575,0.35,0.194,0.49,0.734,0.509,0.398,0.523,0.583
Sergey Karasev,Nets,2014-2015,REG,33,1.196,2.56,4.266,40.717,28.398,0.389,0.065,0.629,0.571,0.468,0.352,0.534,0.467
Deron Williams,Nets,2014-2015,REG,68,2.087,2.417,4.029,85.64,64.915,1.839,0.579,0.518,0.684,0.367,0.414,0.451,0.584
Brook Lopez,Nets,2014-2015,REG,72,1.822,2.249,3.748,48.746,26.807,0.446,0.154,0.624,0.631,0.527,0.492,0.321,0.5
Joe Johnson,Nets,2014-2015,REG,80,2.32,2.394,3.99,54.357,36.621,1.122,0.374,0.515,0.766,0.46,0.408,0.466,0.61
Alan Anderson,Nets,2014-2015,REG,74,1.565,2.39,3.983,38.077,25.55,0.454,0.433,0.378,0.625,0.475,0.403,0.448,0.596
Jarrett Jack,Nets,2014-2015,REG,80,1.865,2.397,3.995,76.851,55.438,1.157,0.803,0.432,0.728,0.418,0.473,0.381,0.493
Mirza Teletovic,Nets,2014-2015,REG,40,1.547,2.497,4.161,65.561,47.89,0.444,0.282,0.482,0.663,0.363,0.401,0.608,0.511
Markel Brown,Nets,2014-2015,REG,47,1.164,2.521,4.202,36.58,22.897,0.415,0.23,0.485,0.74,0.414,0.309,0.466,0.529
Mason Plumlee,Nets,2014-2015,REG,82,1.499,2.54,4.233,53.96,37.124,0.537,0.165,0.474,0.594,0.542,0.785,0.134,0.553
Ricky Ledo,"Mavericks, Knicks",2014-2015,REG,17,1.03,2.583,4.305,75.821,53.841,0.885,0.148,0.64,0.625,0.241,0.474,0.396,0.6
Brandan Wright,"Mavericks, Celtics, Suns",2014-2015,REG,75,1.256,2.34,3.901,46.448,33.6,0.423,0.05,0.559,0.516,0.613,0.773,0.182,0.503
Jameer Nelson,"Mavericks, Celtics, Nuggets",2014-2015,REG,63,1.522,2.455,4.092,79.757,60.093,1.203,0.922,0.493,0.551,0.4,0.411,0.603,0.653
Jae Crowder,"Mavericks, Celtics",2014-2015,REG,82,1.399,2.508,4.18,55.14,39.573,0.7,0.219,0.477,0.614,0.45,0.394,0.561,0.538
Richard Jefferson,Mavericks,2014-2015,REG,74,1.151,2.465,4.109,51.648,36.486,0.434,0.203,0.521,0.598,0.374,0.509,0.522,0.512
Chandler Parsons,Mavericks,2014-2015,REG,66,2.37,2.575,4.292,59.938,40.804,0.675,0.198,0.489,0.676,0.469,0.454,0.462,0.551
Devin Harris,Mavericks,2014-2015,REG,76,1.525,2.476,4.126,73.66,56.185,0.748,0.427,0.351,0.622,0.452,0.394,0.586,0.548
Tyson Chandler,Mavericks,2014-2015,REG,75,1.936,2.287,3.811,48.697,37.09,0.725,0.063,0.647,0.628,0.652,0.698,0.287,0.502
Jose Juan Barea,Mavericks,2014-2015,REG,77,1.301,2.647,4.412,84.442,63.159,1.11,0.899,0.377,0.6,0.435,0.401,0.452,0.51
Al-Farouq Aminu,Mavericks,2014-2015,REG,74,1.381,2.693,4.488,49.187,34.953,0.448,0.132,0.592,0.551,0.441,0.382,0.499,0.407
Monta Ellis,Mavericks,2014-2015,REG,80,2.3,2.454,4.091,66.297,41.557,1.16,0.534,0.42,0.582,0.465,0.424,0.493,0.538
Dirk Nowitzki,Mavericks,2014-2015,REG,77,1.833,2.226,3.711,65.019,43.183,0.536,0.189,0.543,0.614,0.448,0.468,0.533,0.531
Kyle O'Quinn,Magic,2014-2015,REG,51,1.064,2.37,3.949,69.506,53.079,0.699,0.437,0.523,0.612,0.602,0.395,0.533,0.509
Nikola Vucevic,Magic,2014-2015,REG,74,2.133,2.247,3.745,57.374,35.45,0.555,0.185,0.706,0.708,0.524,0.522,0.399,0.54
Luke Ridnour,Magic,2014-2015,REG,47,1.038,2.572,4.287,73.905,57.3,1.371,0.369,0.571,0.682,0.421,0.422,0.671,0.375
Evan Fournier,Magic,2014-2015,REG,58,1.991,2.503,4.171,47.527,29.777,0.607,0.173,0.412,0.613,0.447,0.435,0.535,0.606
Dewayne Dedmon,Magic,2014-2015,REG,59,0.916,2.303,3.839,37.62,26.798,0.298,0.043,0.652,0.689,0.528,0.694,0.224,0.429
Ben Gordon,Magic,2014-2015,REG,56,0.95,2.422,4.037,43.86,23.502,0.729,0.182,0.214,0.6,0.392,0.509,0.386,0.773
Andrew Nicholson,Magic,2014-2015,REG,40,0.828,2.422,4.037,59.476,42.869,0.22,0,0.447,0.489,0.469,0.407,0.571,0.463
Elfrid Payton,Magic,2014-2015,REG,82,2.173,2.577,4.295,79.063,60.244,1.577,0.55,0.431,0.586,0.427,0.426,0.23,0.599
Willie Green,Magic,2014-2015,REG,52,1.212,2.386,3.976,48.146,32.627,0.644,0.265,0.56,0.613,0.366,0.406,0.552,0.421
Victor Oladipo,Magic,2014-2015,REG,72,2.486,2.504,4.174,64.604,41.376,0.924,0.308,0.459,0.618,0.44,0.434,0.394,0.567
Aaron Gordon,Magic,2014-2015,REG,47,1.199,2.546,4.243,47.251,34.015,0.497,0.045,0.554,0.651,0.508,0.337,0.405,0.477
Devyn Marble,Magic,2014-2015,REG,16,0.965,2.67,4.45,30.435,19.195,0.692,0,0.556,0.684,0.273,0.364,0.5,0.563
Tobias Harris,Magic,2014-2015,REG,68,2.344,2.422,4.037,54.767,35.544,0.38,0.046,0.562,0.68,0.472,0.453,0.396,0.528
Maurice Harkless,Magic,2014-2015,REG,45,1.067,2.563,4.271,39.671,27.337,0.32,0.107,0.567,0.586,0.469,0.295,0.384,0.578
Channing Frye,Magic,2014-2015,REG,75,1.556,2.246,3.744,69.12,57.009,0.404,0.193,0.551,0.559,0.361,0.408,0.722,0.521
Dwight Buycks,Lakers,2014-2015,REG,6,1.395,2.455,4.092,72.156,52.211,0.587,0,0.4,0.625,0.393,0.583,0.3,0.714
Jeremy Lin,Lakers,2014-2015,REG,74,1.793,2.506,4.176,78.884,55.849,1.152,0.548,0.289,0.525,0.422,0.424,0.413,0.471
Kobe Bryant,Lakers,2014-2015,REG,35,2.186,2.283,3.804,69.741,39.285,1.074,0.597,0.388,0.663,0.349,0.44,0.276,0.587
Wesley Johnson,Lakers,2014-2015,REG,76,1.963,2.393,3.989,42.278,27.554,0.417,0.144,0.578,0.667,0.377,0.446,0.53,0.561
Carlos Boozer,Lakers,2014-2015,REG,71,1.507,2.277,3.795,65.373,44.327,0.468,0.234,0.539,0.72,0.521,0.459,0.358,0.502
Wayne Ellington,Lakers,2014-2015,REG,65,1.809,2.528,4.214,44.477,27.688,0.537,0.28,0.484,0.694,0.414,0.41,0.549,0.583
Julius Randle,Lakers,2014-2015,REG,1,0.85,2.256,3.759,39.803,26.536,0,0,0,0,0,0.5,0.667,0
Ed Davis,Lakers,2014-2015,REG,79,1.65,2.551,4.251,54.017,41.105,0.45,0.157,0.494,0.604,0.589,0.696,0.119,0.525
Ryan Kelly,Lakers,2014-2015,REG,52,1.576,2.392,3.986,47.727,35.7,0.38,0.088,0.5,0.658,0.347,0.33,0.608,0.517
Jordan Hill,Lakers,2014-2015,REG,70,1.755,2.36,3.933,62.481,42.486,0.442,0.211,0.513,0.603,0.504,0.419,0.503,0.57
Vander Blue,Lakers,2014-2015,REG,2,2.585,2.525,4.208,59.58,41.022,1.465,0.488,0.5,0.875,0.316,0.273,0.367,0.5
Robert Sacre,Lakers,2014-2015,REG,67,1.098,2.337,3.895,51.3,37.292,0.318,0.222,0.484,0.548,0.395,0.442,0.387,0.538
Jabari Brown,Lakers,2014-2015,REG,19,1.989,2.394,3.989,44.972,27.68,0.443,0.253,0.214,0.611,0.363,0.456,0.529,0.563
Ronnie Price,Lakers,2014-2015,REG,43,1.688,2.66,4.434,75.808,62.464,1.21,0.293,0.543,0.556,0.357,0.333,0.498,0.69
Nick Young,Lakers,2014-2015,REG,42,1.532,2.315,3.859,42.256,20.66,0.54,0.072,0.459,0.669,0.351,0.397,0.296,0.433
Jordan Clarkson,Lakers,2014-2015,REG,59,1.819,2.617,4.362,77.618,55.859,0.805,0.366,0.487,0.531,0.446,0.453,0.393,0.558
Pablo Prigioni,"Knicks, Rockets",2014-2015,REG,67,1.318,2.656,4.427,79.151,66.666,1.534,0.331,0.508,0.674,0.357,0.402,0.746,0.515
Amar'e Stoudemire,"Knicks, Mavericks",2014-2015,REG,59,1.342,2.291,3.818,59.361,38.272,0.434,0.087,0.502,0.537,0.589,0.447,0.212,0.529
Iman Shumpert,"Knicks, Cavaliers",2014-2015,REG,62,1.767,2.553,4.255,56.029,40.484,0.862,0.256,0.598,0.681,0.388,0.424,0.601,0.535
J.R. Smith,"Knicks, Cavaliers",2014-2015,REG,70,1.964,2.381,3.968,55,37.948,0.675,0.173,0.667,0.662,0.381,0.441,0.579,0.549
Carmelo Anthony,Knicks,2014-2015,REG,40,2.162,2.18,3.634,66.268,40.699,0.555,0.202,0.699,0.738,0.439,0.432,0.374,0.59
Andrea Bargnani,Knicks,2014-2015,REG,28,1.759,2.328,3.879,64.385,41.789,0.52,0.142,0.484,0.595,0.465,0.448,0.513,0.563
Cole Aldrich,Knicks,2014-2015,REG,60,1.049,2.352,3.92,74.457,57.6,0.673,0.224,0.529,0.642,0.43,0.805,0.14,0.5
Tim Hardaway Jr.,Knicks,2014-2015,REG,69,1.615,2.429,4.049,66.58,46.218,0.632,0.218,0.444,0.678,0.385,0.391,0.496,0.457
Jason Smith,Knicks,2014-2015,REG,81,1.494,2.472,4.121,66.974,50.241,0.674,0.204,0.43,0.57,0.413,0.462,0.59,0.497
Travis Wear,Knicks,2014-2015,REG,50,0.914,2.509,4.182,57.341,42.896,0.33,0.385,0.526,0.589,0.458,0.339,0.568,0.474
Cleanthony Early,Knicks,2014-2015,REG,38,1.159,2.542,4.236,64.278,48.064,0.866,0.115,0.733,0.578,0.377,0.343,0.483,0.563
Langston Galloway,Knicks,2014-2015,REG,44,2.269,2.529,4.216,76.186,59.743,0.811,0.329,0.529,0.671,0.313,0.467,0.562,0.621
Shane Larkin,Knicks,2014-2015,REG,76,1.689,2.479,4.132,78.408,64.101,1.081,0.541,0.659,0.519,0.436,0.444,0.517,0.57
Quincy Acy,Knicks,2014-2015,REG,67,1.28,2.425,4.042,56.614,43.154,0.424,0.085,0.436,0.607,0.516,0.416,0.606,0.43
Samuel Dalembert,Knicks,2014-2015,REG,32,1.087,2.304,3.84,64.505,50.134,0.199,0.331,0.697,0.646,0.425,0.457,0.365,0.461
Jose Calderon,Knicks,2014-2015,REG,41,2.071,2.463,4.106,84.901,69.841,1.335,0.377,0.633,0.788,0.364,0.446,0.574,0.659
Ramon Sessions,"Kings, Wizards",2014-2015,REG,64,1.288,2.497,4.162,85.236,66.117,1.454,0.364,0.575,0.712,0.382,0.362,0.38,0.667
Quincy Miller,"Kings, Pistons",2014-2015,REG,8,0.542,1.467,2.445,29.742,22.306,0.338,0,0.75,1,0.125,0.333,0.6,0.5
Omri Casspi,Kings,2014-2015,REG,67,1.509,2.569,4.282,57.621,40.261,0.508,0.305,0.338,0.594,0.471,0.524,0.344,0.591
Ray McCallum,Kings,2014-2015,REG,68,1.605,2.737,4.561,82.366,63.937,1.454,0.577,0.619,0.715,0.467,0.404,0.453,0.676
Derrick Williams,Kings,2014-2015,REG,74,1.345,2.451,4.085,47.386,30.86,0.468,0.246,0.621,0.676,0.435,0.459,0.522,0.562
Darren Collison,Kings,2014-2015,REG,45,2.389,2.474,4.123,85.219,64.398,1.219,0.759,0.352,0.663,0.453,0.494,0.465,0.431
David Stockton,Kings,2014-2015,REG,2,0.255,0.704,1.173,19.323,16.562,1.38,1.38,0,1,0,0,0.5,0
Nik Stauskas,Kings,2014-2015,REG,73,1.093,2.549,4.248,40.711,27.642,0.32,0.16,0.55,0.626,0.29,0.425,0.56,0.492
Carl Landry,Kings,2014-2015,REG,70,1.116,2.359,3.932,49.694,33.743,0.544,0.151,0.516,0.628,0.549,0.472,0.442,0.544
Reggie Evans,Kings,2014-2015,REG,47,1.077,2.385,3.975,52.173,40.72,0.141,0.236,0.527,0.704,0.389,0.583,0.175,0.613
Ben McLemore,Kings,2014-2015,REG,82,2.414,2.669,4.448,43.791,28.475,0.607,0.216,0.373,0.554,0.427,0.441,0.583,0.563
DeMarcus Cousins,Kings,2014-2015,REG,59,2.022,2.133,3.555,74.047,44.096,0.697,0.393,0.599,0.72,0.503,0.396,0.329,0.482
Jason Thompson,Kings,2014-2015,REG,81,1.673,2.45,4.084,51.279,39.255,0.506,0.199,0.481,0.612,0.464,0.482,0.39,0.52
Rudy Gay,Kings,2014-2015,REG,68,2.365,2.404,4.007,61.497,36.863,0.688,0.374,0.524,0.669,0.45,0.468,0.335,0.517
Enes Kanter,"Jazz, Thunder",2014-2015,REG,75,1.929,2.445,4.075,71.726,50.639,0.473,0.051,0.521,0.635,0.555,0.44,0.323,0.572
Dante Exum,Jazz,2014-2015,REG,82,1.562,2.541,4.235,72.891,59.344,1.19,0.476,0.574,0.675,0.347,0.349,0.763,0.639
Elijah Millsap,Jazz,2014-2015,REG,47,1.369,2.507,4.179,50.865,35.625,0.507,0.351,0.651,0.587,0.354,0.324,0.466,0.511
Trey Burke,Jazz,2014-2015,REG,76,2.077,2.497,4.161,92.016,70.423,0.886,0.823,0.441,0.644,0.371,0.362,0.461,0.569
Rodney Hood,Jazz,2014-2015,REG,50,1.483,2.533,4.221,59.144,42.265,0.854,0.205,0.36,0.59,0.429,0.402,0.532,0.589
Alec Burks,Jazz,2014-2015,REG,27,2.223,2.404,4.006,66.991,49.132,0.721,0.36,0.613,0.688,0.421,0.383,0.412,0.667
Rudy Gobert,Jazz,2014-2015,REG,82,1.81,2.477,4.128,69.319,56.4,0.551,0.167,0.594,0.67,0.587,0.716,0.158,0.419
Trevor Booker,Jazz,2014-2015,REG,79,1.366,2.496,4.159,78.135,62.596,0.578,0.254,0.622,0.669,0.521,0.439,0.425,0.506
Joe Ingles,Jazz,2014-2015,REG,79,1.469,2.5,4.167,58.695,47.059,0.97,0.431,0.595,0.725,0.33,0.441,0.725,0.565
Gordon Hayward,Jazz,2014-2015,REG,76,2.363,2.477,4.129,70.621,47.747,1.035,0.648,0.525,0.749,0.426,0.456,0.554,0.583
Derrick Favors,Jazz,2014-2015,REG,74,2.054,2.411,4.018,76.332,56.329,0.46,0.222,0.564,0.635,0.551,0.469,0.319,0.436
Gary Neal,"Hornets, Timberwolves",2014-2015,REG,54,1.496,2.44,4.066,58.815,37.68,0.574,0.302,0.56,0.642,0.367,0.385,0.372,0.564
Brian Roberts,Hornets,2014-2015,REG,72,1.318,2.57,4.283,81.372,63.127,1.597,0.244,0.448,0.649,0.421,0.367,0.551,0.54
Jeff Taylor,Hornets,2014-2015,REG,29,1.068,2.591,4.319,37.557,23.086,0.586,0.167,0.667,0.6,0.421,0.368,0.5,0.625
Michael Kidd-Gilchrist,Hornets,2014-2015,REG,55,2.111,2.633,4.389,49.007,32.951,0.839,0.068,0.551,0.633,0.468,0.456,0.356,0.479
Kemba Walker,Hornets,2014-2015,REG,62,2.39,2.518,4.197,96.635,71.486,1.614,0.561,0.393,0.536,0.374,0.403,0.409,0.564
Cody Zeller,Hornets,2014-2015,REG,62,1.788,2.685,4.474,78.915,65.427,0.605,0.048,0.462,0.611,0.471,0.449,0.448,0.491
Bismack Biyombo,Hornets,2014-2015,REG,64,1.299,2.408,4.014,30.235,20.562,0.203,0.058,0.607,0.631,0.548,0.526,0.102,0.49
Al Jefferson,Hornets,2014-2015,REG,65,1.906,2.239,3.732,52.54,30.49,0.578,0.289,0.637,0.672,0.466,0.518,0.278,0.545
Marvin Williams,Hornets,2014-2015,REG,78,1.78,2.456,4.093,76.363,65.181,0.425,0.142,0.492,0.639,0.497,0.398,0.707,0.508
Jason Maxiell,Hornets,2014-2015,REG,61,0.967,2.419,4.032,40.638,29.402,0.328,0.041,0.601,0.555,0.439,0.381,0.326,0.52
PJ Hairston,Hornets,2014-2015,REG,45,1.082,2.551,4.252,36.981,20.324,0.262,0,0.733,0.654,0.327,0.323,0.612,0.533
Lance Stephenson,Hornets,2014-2015,REG,61,1.703,2.378,3.963,69.61,51.303,1.007,0.526,0.5,0.721,0.427,0.322,0.49,0.657
Gerald Henderson,Hornets,2014-2015,REG,80,2.08,2.587,4.312,53.539,35.019,0.731,0.327,0.493,0.685,0.416,0.465,0.424,0.459
Danny Granger,"Heat, Suns",2014-2015,REG,30,1.38,2.433,4.055,44.24,31.08,0.235,0.059,0.513,0.577,0.392,0.402,0.54,0.568
Shawne Williams,"Heat, Pistons",2014-2015,REG,63,1.162,2.424,4.041,56.451,43.862,0.398,0.099,0.48,0.573,0.39,0.393,0.668,0.507
Justin Hamilton,"Heat, Pelicans, Timberwolves",2014-2015,REG,41,1.222,2.531,4.218,51.632,39.002,0.404,0.303,0.475,0.45,0.49,0.46,0.416,0.549
Norris Cole,"Heat, Pelicans",2014-2015,REG,75,1.699,2.505,4.176,80.663,63.539,1.081,0.551,0.419,0.646,0.429,0.396,0.525,0.532
Tyler Johnson,Heat,2014-2015,REG,31,1.34,2.58,4.3,58.936,43.907,0.807,0.373,0.326,0.6,0.471,0.329,0.446,0.558
Mario Chalmers,Heat,2014-2015,REG,79,1.936,2.361,3.935,72.832,55.709,0.741,0.54,0.4,0.603,0.395,0.416,0.423,0.569
Shabazz Napier,Heat,2014-2015,REG,50,1.322,2.433,4.056,77.888,62.355,0.994,0.405,0.447,0.627,0.354,0.375,0.633,0.684
Udonis Haslem,Heat,2014-2015,REG,61,0.975,2.215,3.692,57.038,44.789,0.335,0.186,0.534,0.587,0.472,0.382,0.453,0.565
Chris Bosh,Heat,2014-2015,REG,44,2.07,2.107,3.511,63.855,40.627,0.602,0.324,0.582,0.679,0.46,0.462,0.554,0.551
