PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,"FRONT CT
TOUCHES","TIME OF
POSS","AVG SEC PER
TOUCH","AVG DRIB PER
TOUCH","PTS PER
TOUCH","ELBOW
TOUCHES","POST
UPS","PAINT
TOUCHES","PTS PER
ELBOW TOUCH","PTS PER
POST TOUCH","PTS PER
PAINT TOUCH",Year
Jordan Crawford,NOP,19,9,10,23.3,14.1,40.5,26.6,2,2.97,2.31,0.347,0.5,0.1,0.3,0.6,0,0.4,17
Marco Belinelli,CHA,74,34,40,24,10.5,30.5,24.4,1.2,2.31,1.6,0.345,0.8,0.1,1.1,0.738,0.286,0.866,17
Shawn Long,PHI,18,5,13,13,8.2,23.8,16.7,0.7,1.72,0.75,0.345,1.7,1.1,4.6,0.71,0.5,0.988,17
DeMarcus Cousins,NOP,72,30,42,34.2,27,78.3,56.2,3.2,2.49,1.14,0.344,6.1,9.9,4.9,0.265,0.504,0.873,17
Victor Oladipo,OKC,67,39,28,33.2,15.9,46.3,29.4,2.4,3.06,2.5,0.344,1,0.3,1.6,0.507,0.476,0.981,17
Allen Crabbe,POR,79,39,40,28.5,10.7,31.2,23.3,0.8,1.57,0.66,0.343,0.6,0,0.6,0.766,1,0.58,17
Kyle Korver,CLE,67,33,34,26.2,10.1,29.5,22.1,0.7,1.5,0.58,0.343,0.4,0.1,0.5,0.308,1,0.677,17
Aron Baynes,DET,75,34,41,15.5,4.9,14.3,10.6,0.4,1.54,0.39,0.341,1.9,1,4.3,0.357,0.481,0.812,17
Isaiah Thomas,BOS,76,51,25,33.8,28.9,85.1,36,6.9,4.9,4.76,0.34,1,0.1,0.9,0.592,0,0.554,17
Jimmy Butler,CHI,76,40,36,37,23.9,70.3,43,5.3,4.48,3.53,0.34,2.2,3.5,3.7,0.482,0.414,0.732,17
Ryan Anderson,HOU,72,50,22,29.4,13.6,40.2,26,1.1,1.57,0.67,0.339,0.4,0.9,2.2,0.355,0.642,0.827,17
Kentavious Caldwell-Pope,DET,76,33,43,33.3,13.8,40.8,32.4,1.5,2.27,1.48,0.338,0.8,0,1.1,0.565,0.667,0.518,17
Michael Beasley,MIL,56,23,33,16.7,9.4,27.9,16.8,0.9,2.03,0.99,0.338,1.5,1.1,2.2,0.6,0.688,0.844,17
David Nwaba,LAL,20,5,15,19.9,6,17.9,12,0.8,2.54,1.75,0.335,0.7,0.3,1.8,0.846,1,1.139,17
Dwyane Wade,CHI,60,29,31,29.9,18.3,54.7,35.8,3.3,3.6,2.9,0.334,1.2,3.1,2,0.714,0.649,0.758,17
Russell Westbrook,OKC,81,46,35,34.6,31.6,94.8,29,9.2,5.83,5.22,0.333,2,1.9,2.6,0.595,0.68,0.698,17
Al Jefferson,IND,65,33,32,14.2,8.2,24.7,16.4,0.9,2.08,0.51,0.331,2.7,6.1,3,0.451,0.599,1.071,17
Rodney Hood,UTA,59,40,19,27,12.7,38.4,28.4,2.2,3.48,2.53,0.331,0.6,0.4,0.8,0.579,0.538,0.8,17
Alan Williams,PHX,47,11,36,15.1,7.4,22.3,12.7,0.5,1.32,0.41,0.33,2.3,1.5,5.3,0.532,0.529,0.903,17
Markieff Morris,WAS,76,45,31,31.2,14,42.4,26.8,1.1,1.62,0.59,0.33,3,4.5,4.3,0.437,0.584,0.87,17
Aaron Gordon,ORL,80,29,51,28.7,12.7,38.7,27.3,1.6,2.4,1.6,0.329,1.1,1.1,3.3,0.919,0.692,1.142,17
Derrick Jones Jr.,PHX,32,7,25,17,5.3,16,11,0.4,1.5,0.77,0.329,0.5,0,1.9,0.688,0,1.098,17
Otto Porter Jr.,WAS,80,48,32,32.6,13.4,40.9,24,1.2,1.75,0.67,0.329,1.1,0.2,2.5,1.024,0.278,0.93,17
Avery Bradley,BOS,55,34,21,33.4,16.3,49.7,34.7,2,2.37,1.94,0.327,1.3,0,2.4,0.611,0.5,0.985,17
Zach LaVine,MIN,47,16,31,37.2,18.9,57.9,40.8,3,3.1,2.24,0.327,0.8,0,0.9,1.083,0,0.786,17
Rudy Gay,SAC,30,11,19,33.8,18.7,57.5,40.7,2.6,2.72,1.58,0.326,2.3,4.4,3,0.629,0.705,0.944,17
Stephen Curry,GSW,79,65,14,33.4,25.3,78.2,32.9,5.3,4.06,3.83,0.324,1.4,0.3,2.2,0.564,0.391,0.686,17
Bobby Brown,HOU,25,18,7,4.9,2.5,7.7,4.7,0.6,4.46,3.86,0.323,0,0,0,0,0,0,17
Wilson Chandler,DEN,70,34,36,30.9,15.7,48.4,31,2,2.46,1.53,0.323,0.9,1.5,3.1,0.59,0.552,0.86,17
Alex Abrines,OKC,68,37,31,15.5,6,18.6,13.5,0.5,1.67,0.79,0.322,0.3,0,0.3,0.333,0,0.318,17
Brandan Wright,MEM,28,14,14,16,6.8,21,12.6,0.6,1.7,0.55,0.322,3.2,0.6,4.4,0.4,0.333,1.041,17
Brandon Bass,LAC,52,29,23,11.1,5.6,17.4,10.8,0.6,1.9,0.66,0.322,1.5,1.7,2.7,0.709,0.709,0.894,17
LaMarcus Aldridge,SAS,71,52,19,32.4,17.3,54.1,39.8,1.8,2,0.84,0.32,3.5,10.1,5.3,0.29,0.468,0.899,17
Joel Embiid,PHI,31,13,18,25.4,20.2,63.4,45.9,2.2,2.07,0.78,0.319,3.1,10.9,6.1,0.295,0.555,0.847,17
Kyrie Irving,CLE,72,47,25,35.1,25.2,79,30.3,6.7,5.07,4.87,0.319,1.2,0.9,1.5,0.739,0.712,0.667,17
Tony Snell,MIL,80,42,38,29.2,8.5,26.8,18.7,0.8,1.78,1.04,0.319,0.4,0.1,0.5,0.345,0.429,0.816,17
Buddy Hield,SAC,82,31,51,23,10.6,33.2,23.2,1.5,2.78,2.19,0.318,0.6,0.1,0.8,0.385,0,0.754,17
Kevin Love,CLE,60,40,20,31.4,19,60,34,1.7,1.72,0.46,0.317,1.9,5.6,4.6,0.345,0.618,0.734,17
Jordan Clarkson,LAL,82,26,56,29.2,14.7,46.4,27,3,3.93,3.05,0.316,0.6,0.2,1.2,0.625,0.529,0.775,17
Steven Adams,OKC,80,47,33,29.9,11.3,35.8,23,1,1.62,0.5,0.316,4.6,4.4,10.5,0.507,0.467,0.721,17
Robin Lopez,CHI,81,40,41,28,10.4,32.8,24.1,0.9,1.56,0.48,0.315,3.8,2.8,7.2,0.44,0.482,0.698,17
Damian Lillard,POR,75,38,37,35.9,27,85.9,29.9,8.1,5.65,5.31,0.314,0.9,0,1.2,0.794,2.333,0.795,17
Jabari Parker,MIL,51,22,29,33.9,20.1,64.3,36.5,2.3,2.17,1.35,0.313,2.2,2.1,3.4,0.667,0.458,0.926,17
Nene,HOU,67,47,20,17.9,9.1,29.3,17,0.8,1.55,0.39,0.31,3.8,0.9,5.6,0.732,0.345,0.869,17
Zach Randolph,MEM,73,38,35,24.5,14.1,45.5,31.2,1.6,2.16,0.83,0.309,3.3,8.9,5.8,0.342,0.521,0.981,17
Marreese Speights,LAC,82,51,31,15.7,8.7,28.2,16.8,0.7,1.45,0.31,0.307,0.9,1.2,2.4,0.533,0.737,0.938,17
Malachi Richardson,SAC,22,9,13,9,3.6,11.7,8.3,0.5,2.57,1.78,0.306,0.2,0,0.1,0,0,1,17
Kenneth Faried,DEN,60,28,32,21.3,9.5,31.3,16.4,0.9,1.68,0.65,0.305,2,1.1,6.3,0.708,0.651,0.934,17
Ben McLemore,SAC,61,27,34,19.3,8.1,26.7,18.6,0.9,2.09,1.26,0.304,1,0,1.2,0.45,1,0.724,17
Dirk Nowitzki,DAL,53,22,31,26.3,14.2,46.6,30.5,1.1,1.48,0.32,0.304,1.9,3.4,1.3,0.455,0.652,0.612,17
Myles Turner,IND,80,42,38,31.5,14.6,47.9,28,1.1,1.41,0.29,0.304,4.2,2.2,6.7,0.645,0.556,0.937,17
Gerald Henderson,PHI,72,24,48,23.2,9.2,30.4,24.9,1.2,2.38,1.65,0.303,0.8,0.5,1.1,0.463,0.667,0.531,17
James Harden,HOU,81,54,27,36.4,29.1,96.1,27.3,9.3,5.78,4.96,0.303,0.8,1,1.3,0.485,0.577,0.49,17
Jordan McRae,CLE,37,26,11,10.4,4.4,14.4,7.9,0.8,3.38,2.74,0.303,0.1,0,0.4,0,0,0.846,17
Rashad Vaughn,MIL,41,18,23,11.2,3.5,11.4,8.1,0.4,2.3,1.59,0.303,0.2,0,0.3,0.571,0,1.286,17
Serge Ibaka,TOR,79,37,42,30.7,14.8,49.2,30.3,1.3,1.6,0.33,0.302,2.1,3.8,4.5,0.534,0.575,0.863,17
Jaylen Brown,BOS,78,50,28,17.2,6.6,21.9,15.7,0.8,2.06,1.3,0.301,0.4,0.6,1.6,0.5,0.62,0.833,17
Luc Mbah a Moute,LAC,80,49,31,22.3,6.1,20.1,12.8,0.6,1.66,0.8,0.301,0.5,0.1,1.4,0.474,0.273,0.786,17
Kristaps Porzingis,NYK,66,26,40,32.8,18.1,60.5,39.8,1.6,1.57,0.48,0.3,4,4,4.9,0.515,0.541,0.871,17
LeBron James,CLE,74,51,23,37.8,26.4,88.1,43.2,6.4,4.36,3.28,0.3,3.3,3.9,3.8,0.531,0.41,0.921,17
Montrezl Harrell,HOU,58,39,19,18.3,9.1,30.3,17.7,0.8,1.56,0.48,0.3,2.9,0.4,4.9,0.72,0.917,1.08,17
Will Barton,DEN,59,30,29,28.5,13.7,45.8,28.2,2.7,3.55,2.95,0.3,0.7,0.2,1.5,0.7,0.417,0.824,17
Maurice Harkless,POR,77,38,39,28.9,10,33.7,21.9,1,1.83,0.81,0.298,0.8,1.7,4.3,0.793,0.611,0.882,17
Willie Cauley-Stein,SAC,75,29,46,18.9,8.1,27.4,16.8,0.9,1.89,0.64,0.298,4.7,2.1,5.3,0.42,0.361,0.864,17
E'Twaun Moore,NOP,73,32,41,24.9,9.6,32.3,24.4,1.5,2.82,2.25,0.296,0.8,0.3,1,0.554,0.583,0.829,17
Jamal Crawford,LAC,82,51,31,26.3,12.3,41.5,24.3,2.7,3.87,3.64,0.296,0.4,0,0.3,0.414,0.25,0.762,17
James Young,BOS,29,16,13,7.6,2.3,7.9,6.1,0.2,1.62,0.66,0.296,0.1,0,0.3,0,2,1.3,17
Rakeem Christmas,IND,29,14,15,7.6,2,6.9,4.6,0.2,1.33,0.3,0.296,1,0.1,2,0.655,0.5,0.807,17
Sean Kilpatrick,BKN,69,14,55,25.1,13.2,44.6,28.1,2.5,3.39,3.01,0.296,0.8,0.2,1,0.836,0.636,0.771,17
Cheick Diallo,NOP,17,9,8,11.7,5.1,17.4,7.8,0.4,1.52,0.34,0.295,1.2,1.2,2.3,0.8,0.7,0.949,17
Leandro Barbosa,PHX,65,19,46,14.5,6.4,21.5,15.8,1,2.9,2.52,0.295,0.3,0,0.4,0.316,0,0.667,17
AJ Hammons,DAL,22,4,18,7.4,2.2,7.4,5.7,0.2,1.85,0.34,0.294,0.5,1,1.1,0.7,0.091,0.64,17
Alec Burks,UTA,42,26,16,15.5,6.7,23,14.2,1.3,3.43,2.98,0.294,0.5,0,0.8,0.87,0,0.531,17
Kelly Oubre Jr.,WAS,79,47,32,20.3,6.3,21.8,14.6,0.7,1.88,0.91,0.291,0.3,0.1,1.3,0.56,0.714,0.808,17
Nerlens Noel,DAL,51,24,27,20.5,8.7,30,18.3,0.8,1.51,0.57,0.291,3.2,0.6,6,0.342,0.633,0.938,17
Marcus Morris,DET,79,36,43,32.5,14,48.2,32,1.7,2.12,0.94,0.29,1.3,2,1.5,0.619,0.665,0.75,17
Marcus Thornton,WAS,33,15,18,17.4,6.6,23,16,1.1,2.83,2.25,0.289,0.5,0.1,0.9,0.667,1,1.241,17
Clint Capela,HOU,65,44,21,23.9,12.6,43.6,22.4,1,1.43,0.34,0.288,4,0.5,10,0.554,0.714,0.98,17
DeMarre Carroll,TOR,71,43,28,26.2,8.7,30.4,19.3,0.9,1.82,0.94,0.288,0.3,0.1,1.5,0.682,0.5,0.8,17
Skal Labissiere,SAC,33,9,24,18.5,8.8,30.4,18.3,1,1.96,0.6,0.288,4.2,3.2,4,0.377,0.538,0.788,17
Troy Williams,HOU,30,19,11,18.6,6.2,21.4,14.4,0.7,1.91,1,0.288,0.4,0,1.3,1.182,2,0.75,17
John Henson,MIL,58,26,32,19.4,6.8,23.6,16.1,0.6,1.53,0.36,0.287,4.1,1.3,6.5,0.14,0.37,0.788,17
Michael Kidd-Gilchrist,CHA,81,36,45,29,9.2,31.9,18.6,1.1,2.08,1.35,0.287,1,0.6,3.2,0.649,0.708,0.68,17
Treveon Graham,CHA,27,10,17,7,2.1,7.4,5.1,0.3,2.13,1.28,0.286,0.1,0.1,0.2,0.667,0.333,0.333,17
Wayne Selden,MEM,14,6,8,16.9,5.1,17.7,13.4,0.7,2.3,1.66,0.286,0.8,0,0.3,0.182,0,0.75,17
Jahlil Okafor,PHI,50,15,35,22.7,11.8,41.4,31.3,1.6,2.38,1,0.285,5.9,6.7,5.2,0.418,0.491,0.735,17
Jeff Green,ORL,69,26,43,22.2,9.2,32.6,22.8,1.3,2.34,1.1,0.284,0.6,1.6,1.2,0.659,0.458,0.864,17
Tobias Harris,DET,82,37,45,31.3,16.1,57.2,31.9,2,2.15,1,0.282,1.5,1.8,1.5,0.756,0.642,1.063,17
Channing Frye,CLE,74,44,30,18.9,9.1,32.5,16.7,0.8,1.39,0.26,0.281,1,0.9,1.6,0.521,0.516,0.847,17
Joe Harris,BKN,51,10,41,21.9,8.3,29.5,22.2,0.9,1.87,1.17,0.281,0.7,0,1,0.658,0,0.808,17
Alan Anderson,LAC,30,20,10,10.3,2.9,10.2,7.1,0.4,2.39,1.24,0.28,0.1,0.1,0.1,0,0.5,0.5,17
Richaun Holmes,PHI,57,16,41,20.9,9.8,35,25,0.8,1.44,0.4,0.28,5.2,0.7,6.1,0.334,0.15,0.848,17
Terrence Jones,MIL,54,20,34,23.5,10.8,38.6,23.1,1.3,2.03,0.96,0.28,1.9,2.1,3.1,0.515,0.522,0.994,17
Alex Len,PHX,75,20,55,20.4,8,28.8,15.9,0.7,1.41,0.35,0.279,2.9,2.8,5.9,0.447,0.42,0.834,17
Dion Waiters,MIA,46,27,19,30.1,15.8,56.9,31.1,4.4,4.62,4.03,0.279,0.6,0.1,0.5,0.586,0,0.625,17
Giannis Antetokounmpo,MIL,80,42,38,35.6,22.9,82.1,40.5,5.3,3.9,2.84,0.279,3.8,2.8,5.1,0.466,0.455,1.029,17
Juancho Hernangomez,DEN,61,29,32,13.7,4.9,17.7,10,0.5,1.58,0.58,0.279,0.2,0.3,1.6,1.071,0.438,0.825,17
Metta World Peace,LAL,25,8,17,6.4,2.3,8.2,5.9,0.3,2.52,1.33,0.279,0.2,0.6,0.1,0,0.571,0,17
Christian Wood,CHA,13,5,8,8.2,2.7,9.7,5.5,0.2,1.52,0.47,0.278,0.5,0.2,1.5,0.429,0.333,1.2,17
Jae Crowder,BOS,72,48,24,32.4,13.9,49.9,32.5,1.4,1.7,0.81,0.278,0.5,0.6,1.8,0.618,0.581,1.116,17
Paul Millsap,ATL,69,40,29,34,18.1,65,45.4,2.3,2.14,1.07,0.278,4.5,6.4,4.7,0.272,0.59,0.635,17
Timothe Luwawu-Cabarrot,PHI,69,23,46,17.2,6.4,23.2,15.8,0.8,1.94,1.27,0.278,0.4,0,1,0.88,0,0.735,17
Archie Goodwin,BKN,15,8,7,14.3,7.3,26.5,12.7,1.8,4.05,3.55,0.277,0.2,0.1,0.5,0,0,1,17
Kevin Seraphin,IND,48,23,25,11.2,4.6,16.8,9.8,0.5,1.65,0.52,0.276,1.6,1.8,2.8,0.405,0.614,0.807,17
Justin Holiday,NYK,82,31,51,20,7.7,28,21.1,0.9,1.88,1.05,0.274,0.6,0.1,1.1,0.596,0.8,0.943,17
Hollis Thompson,NOP,40,12,28,18.8,5.1,18.8,13.1,0.5,1.56,0.87,0.273,0.3,0.1,0.7,0.462,0.667,0.926,17
Iman Shumpert,CLE,76,48,28,25.5,7.5,27.4,16.8,1.3,2.88,2.29,0.273,0.3,0.1,0.7,0.174,0,0.164,17
Taurean Prince,ATL,59,28,31,16.6,5.7,20.8,14.8,0.8,2.25,1.32,0.272,0.3,0.1,0.8,0.85,0.333,0.766,17
James Ennis III,MEM,64,32,32,23.4,6.7,24.7,16.5,0.8,2.02,1.09,0.271,0.5,0.3,1.6,0.733,0.471,0.738,17
Blake Griffin,LAC,61,40,21,34,21.6,79.9,50.2,3.3,2.45,1.41,0.27,5.9,7.2,5.1,0.382,0.483,0.856,17
Kemba Walker,CHA,79,36,43,34.7,23.2,85.9,29.7,8.2,5.75,5.72,0.27,0.5,0,0.7,0.395,0,0.576,17
Caris LeVert,BKN,56,15,41,21.8,8.3,30.8,20.2,1.5,2.85,2.35,0.269,0.4,0.1,0.7,0.667,0.667,0.658,17
Jamal Murray,DEN,81,39,42,21.6,9.9,36.9,18.9,2.3,3.78,3.38,0.269,0.5,0,0.9,0.55,0,0.684,17
Khris Middleton,MIL,29,19,10,30.7,14.7,54.7,32.3,2.9,3.17,2.35,0.269,1.5,2.2,0.7,0.233,0.462,1.211,17
Mike Dunleavy,ATL,53,34,19,15.9,5.2,19.3,14.7,0.6,1.75,0.77,0.269,0.3,0.1,0.9,0.176,0,0.82,17
Glenn Robinson III,IND,68,35,33,20.6,6,22.5,15.2,0.7,1.84,0.87,0.268,0.6,0,1.4,0.553,0.667,0.802,17
Wesley Matthews,DAL,72,28,44,34.1,13.4,50.3,36.1,2.1,2.48,1.52,0.268,0.9,2.5,0.7,0.371,0.345,0.811,17
Ian Clark,GSW,77,63,14,14.8,6.8,25.6,16,1.3,2.95,2.48,0.267,0.5,0,1.1,0.722,0,0.964,17
Langston Galloway,SAC,74,29,45,20.2,7.9,29.6,17.5,1.6,3.2,2.79,0.267,0.5,0.1,0.5,0.27,0,0.514,17
Trevor Ariza,HOU,80,53,27,34.7,11.7,44,28.7,1.3,1.79,0.87,0.266,0.8,0.2,1.3,0.841,0.143,0.757,17
Jonas Valanciunas,TOR,79,49,30,25.9,12,45.4,23.2,1.3,1.75,0.38,0.265,3.1,4.4,7,0.624,0.587,0.908,17
Kyle Lowry,TOR,59,35,24,37.5,22.4,84.5,34.6,6.9,4.87,4.44,0.265,0.6,0.3,1.2,0.486,0,0.589,17
Mindaugas Kuzminskas,NYK,68,24,44,14.9,6.3,23.6,18.5,0.8,2.02,0.92,0.264,0.7,0.3,1.8,0.422,0.261,0.959,17
Reggie Bullock,DET,31,13,18,15.1,4.5,17.2,12.8,0.4,1.52,0.48,0.264,0.6,0,0.9,0.5,0,0.724,17
Sam Dekker,HOU,77,52,25,18.4,6.5,24.8,13.1,0.6,1.55,0.7,0.264,0.4,0.1,2,0.645,0,0.819,17
Timofey Mozgov,LAL,54,16,38,20.4,7.4,28.2,18.6,0.8,1.7,0.4,0.264,2.9,2.2,5.6,0.487,0.408,0.626,17
Corey Brewer,LAL,82,47,35,15.6,4.5,17.2,11.7,0.6,2.01,1.24,0.263,0.4,0,0.8,0.621,1.333,0.768,17
JR Smith,CLE,41,25,16,29,8.6,32.7,21.2,1.2,2.2,1.53,0.262,0.2,0,0.5,0.444,0,0.571,17
Joel Bolomboy,UTA,12,8,4,4.4,1.8,7,3.4,0.2,1.76,0.57,0.262,0.6,0.2,1.8,0.571,1.5,0.762,17
Kent Bazemore,ATL,73,39,34,26.9,11,42,27.5,1.7,2.5,1.79,0.261,0.6,0,1.4,0.419,1,0.657,17
Marc Gasol,MEM,74,40,34,34.2,19.5,74.9,56.1,2.5,2.04,0.63,0.261,8.5,10.7,4.5,0.297,0.54,0.65,17
Marquese Chriss,PHX,80,23,57,21.3,9.2,35.4,19.9,0.8,1.37,0.43,0.26,1.5,1.6,3.4,0.432,0.377,0.915,17
Robert Covington,PHI,67,27,40,31.6,12.9,49.6,31.9,1.3,1.56,0.66,0.26,1,0.1,2.4,0.477,0.6,0.809,17
John Wall,WAS,78,48,30,36.4,23.1,89.3,23.7,9.5,6.39,5.95,0.259,0.6,0.2,1,0.289,0.412,0.564,17
Dwight Powell,DAL,76,29,47,17.3,6.7,25.9,14.1,0.7,1.57,0.41,0.257,1.8,0.2,3.5,0.766,0.333,0.848,17
Ersan Ilyasova,ATL,82,35,47,26.1,13.1,50.8,32.5,1.2,1.46,0.56,0.257,2.5,1.2,3.5,0.433,0.53,0.833,17
Joe Johnson,UTA,78,47,31,23.6,9.2,35.7,24.8,1.7,2.79,1.86,0.257,0.6,1.7,0.7,0.447,0.29,0.698,17
Thon Maker,MIL,57,31,26,9.9,4,15.5,7.5,0.4,1.53,0.33,0.257,1,0.2,1.8,0.276,0.538,0.713,17
Courtney Lee,NYK,77,29,48,31.9,10.8,42.4,32.9,1.8,2.48,1.56,0.256,0.8,0.1,0.9,0.516,0,0.576,17
Darrell Arthur,DEN,41,20,21,15.6,6.4,25,15.3,0.6,1.48,0.45,0.255,0.8,0.6,1.1,0.313,0.231,0.617,17
Dwight Howard,ATL,74,37,37,29.7,13.5,53.1,29.2,1.4,1.53,0.38,0.255,2.8,3.6,11.6,0.189,0.544,0.944,17
Justin Anderson,PHI,74,23,51,16.6,7.2,28.2,18.4,1,2.16,0.92,0.255,0.5,0.1,1.3,0.825,0,0.776,17
Tony Allen,MEM,71,36,35,27,9.1,35.6,21.1,1.7,2.95,2.24,0.255,1,0.3,4.8,0.623,0.522,0.775,17
Richard Jefferson,CLE,79,50,29,20.4,5.7,22.4,14.3,0.7,1.81,0.53,0.254,0.7,0.2,1.3,0.429,0.154,0.775,17
Spencer Hawes,MIL,54,27,27,14.8,6.2,24.6,18.4,0.7,1.77,0.7,0.254,1.9,1.3,3,0.49,0.551,1.025,17
Denzel Valentine,CHI,57,28,29,17.1,5.1,20.2,14.3,0.8,2.44,1.7,0.253,0.1,0,0.3,0.75,0,0.444,17
Jake Layman,POR,35,16,19,7.1,2.2,8.8,6.5,0.3,1.8,0.82,0.252,0.1,0,0.3,1,0,0.364,17
Mirza Teletovic,MIL,70,36,34,16.2,6.4,25.7,13.1,0.6,1.42,0.49,0.251,0.3,0.2,0.4,0.476,0.571,0.516,17
Sheldon Mac,WAS,30,17,13,9.6,3,11.9,8.5,0.5,2.36,1.64,0.251,0.1,0,0.4,0,0,0.417,17
Anthony Bennett,BKN,22,3,19,11,4.9,19.5,10.6,0.4,1.35,0.43,0.25,0.4,0.5,2.2,0.25,0.8,1,17
Quincy Acy,BKN,38,11,27,14.7,5.8,23.4,14.3,0.5,1.36,0.38,0.25,0.5,0.4,1.4,0.5,0.765,0.808,17
DeAndre Jordan,LAC,81,51,30,31.7,12.7,51,24.4,1.1,1.34,0.22,0.249,2.2,2.1,9.6,0.446,0.45,1.027,17
Mario Hezonja,ORL,65,20,45,14.8,4.9,19.7,13.8,0.8,2.34,1.28,0.248,0.3,0.1,0.6,0.381,0,0.526,17
Arron Afflalo,SAC,61,23,38,25.9,8.4,34.1,25.5,1.3,2.34,1.48,0.247,0.8,1.9,0.9,0.417,0.586,0.792,17
Goran Dragic,MIA,73,40,33,33.7,20.3,82.6,31.8,7.5,5.44,5.45,0.246,1.3,0.3,1.7,0.511,0.158,0.496,17
Nikola Jokic,DEN,72,36,36,27.9,16.7,67.8,39.3,2.5,2.19,0.85,0.246,4.7,4.6,7.3,0.416,0.635,0.977,17
Seth Curry,DAL,69,29,40,29.1,12.8,52.1,26.3,4.1,4.71,4.41,0.246,0.4,0,0.3,0.2,0,0.722,17
Brandon Knight,PHX,53,16,37,21.2,11.1,45.5,20.3,3.1,4.08,3.95,0.245,0.4,0,0.6,0.2,0,0.219,17
Ivica Zubac,LAL,38,8,30,16,7.5,30.5,15.3,0.7,1.43,0.3,0.245,3,1.8,4.9,0.632,0.652,0.898,17
Mike Conley,MEM,69,35,34,33.2,20.5,83.7,34,7.5,5.37,5.14,0.245,1.1,0.1,0.6,0.519,0.222,0.558,17
James Jones,CLE,48,28,20,7.9,2.8,11.3,5.5,0.3,1.62,0.37,0.244,0.2,0.1,0.2,0,1.286,0.7,17
Miles Plumlee,CHA,45,19,26,10.8,2.5,10.3,6.9,0.3,1.66,0.45,0.244,1.4,0.7,3,0.262,0.433,0.64,17
Derrick Williams,CLE,50,16,34,16.1,6.1,25,12.3,0.8,1.86,0.89,0.243,0.6,0.5,1.5,0.484,0.667,0.74,17
Eric Bledsoe,PHX,64,21,43,33,21.3,87.6,31.1,7.1,4.83,4.32,0.243,0.8,0.5,1.3,0.686,0.486,0.565,17
Chris McCullough,WAS,16,1,15,5,2.3,9.3,5,0.2,1.41,0.44,0.242,0.5,0.1,1.2,1.375,0,0.632,17
Davis Bertans,SAS,66,51,15,12.2,4.6,19,11.5,0.5,1.45,0.61,0.242,0.4,0.2,0.6,0.296,0.1,0.605,17
Tyler Johnson,MIA,73,35,38,29.8,13.7,56.8,31.4,3.2,3.42,3.07,0.242,1.1,0.1,1.3,0.427,0.167,0.731,17
Austin Rivers,LAC,74,43,31,27.8,12,49.9,26.1,3.5,4.24,3.88,0.241,0.3,0.1,0.7,0.36,0.714,0.673,17
Nicolas Batum,CHA,77,35,42,34,15.1,62.8,46.1,2.7,2.59,1.73,0.241,1.1,2.1,1.3,0.446,0.595,0.804,17
Dante Cunningham,NOP,66,28,38,25,6.6,27.5,14.5,0.6,1.33,0.3,0.24,0.8,0.1,1.5,0.509,0,0.808,17
Rudy Gobert,UTA,81,51,30,33.9,14,58.6,32.8,1.5,1.49,0.3,0.24,5.8,0.8,11.3,0.375,0.333,0.919,17
Rodney McGruder,MIA,78,40,38,25.2,6.4,26.6,18.3,0.9,2,1.29,0.239,0.7,0.1,2.2,0.491,0.333,0.685,17
Daniel Ochefu,WAS,19,12,7,3.9,1.3,5.3,2.8,0.1,1.61,0.31,0.238,0.6,0.3,0.8,0.364,0.4,0.813,17
Julius Randle,LAL,74,24,50,28.8,13.2,55.4,31.4,2.4,2.63,1.47,0.238,3,3.3,4.5,0.486,0.407,0.873,17
Darrun Hilliard,DET,39,19,20,9.8,3.3,13.7,9.4,0.7,3.19,2.52,0.237,0.3,0,0.2,0.9,0,1.333,17
Jeremy Lin,BKN,35,13,22,24.5,14.6,61.5,22.3,4.8,4.66,4.39,0.237,0.8,0.7,0.9,0.429,0.435,0.515,17
Pat Connaughton,POR,39,18,21,8.1,2.5,10.6,7.4,0.5,2.72,1.97,0.236,0.2,0.1,0.3,0.625,0,0.769,17
Paul Zipser,CHI,44,21,23,19.2,5.5,23.1,15,0.8,2.01,1.02,0.236,0.3,0.2,0.6,0.8,0.875,0.593,17
Devin Harris,DAL,64,28,36,16.7,6.8,29.1,18.4,1.6,3.35,2.67,0.233,0.5,0.1,0.4,0.229,0,0.522,17
Joffrey Lauvergne,CHI,70,41,29,14,5.4,23,13.5,0.6,1.61,0.55,0.233,1.7,0.9,3.1,0.414,0.484,0.639,17
Jusuf Nurkic,POR,64,33,31,21.6,10.3,44.3,26.3,1.3,1.78,0.58,0.233,3,5,5.9,0.596,0.53,0.743,17
Tyreke Evans,SAC,40,17,23,19.7,10.3,44.1,21.2,3.4,4.63,4.17,0.233,0.4,0.6,0.7,0.471,0.273,0.714,17
Vince Carter,MEM,73,36,37,24.7,8,34.5,23.7,1.3,2.18,1.12,0.233,0.9,1,1,0.319,0.542,0.568,17
Jerami Grant,OKC,80,43,37,19.1,5.5,23.5,13.2,0.6,1.6,0.55,0.232,0.7,0.2,1,0.463,0.294,0.842,17
Jakob Poeltl,TOR,53,37,16,11.7,3.1,13.5,6.9,0.3,1.25,0.28,0.231,0.7,0.2,3.2,0.421,0.333,0.767,17
Derrick Rose,NYK,64,26,38,32.5,18,78.5,30.9,6,4.6,3.9,0.23,0.9,0.6,1.7,0.576,0.27,0.743,17
