index,TM_x,G_x,Age_x,YR_x,MP_x,AgeMulti_x,PFsPERmn,PFsTS%mn,PFs3PArmn,PFsFTrmn,PFsORB%mn,PFsDRB%mn,PFsTRB%mn,PFsAST%mn,PFsSTL%mn,PFsBLK%mn,PFsTOV%mn,PFsUSG%mn,PFsOWSmn,PFsDWSmn,PFsWSmn,PFsWS/48mn,PFsOBPMmn,PFsDBPMmn,PFsBPMmn,PFsVORPmn,PFsMPGmn,PFsadvotesmn,PFO_clustermn,PFD_clustermn,PFD_clustmn,PFO_clustmn,PFO_SSmn,PFD_SSmn,PGsPERmn,PGsTS%mn,PGs3PArmn,PGsFTrmn,PGsORB%mn,PGsDRB%mn,PGsTRB%mn,PGsAST%mn,PGsSTL%mn,PGsBLK%mn,PGsTOV%mn,PGsUSG%mn,PGsOWSmn,PGsDWSmn,PGsWSmn,PGsWS/48mn,PGsOBPMmn,PGsDBPMmn,PGsBPMmn,PGsVORPmn,PGsMPGmn,PGsadvotesmn,PGO_clustermn,PGD_clustermn,PGD_clustmn,PGO_clustmn,PGO_SSmn,PGD_SSmn,SFsPERmn,SFsTS%mn,SFs3PArmn,SFsFTrmn,SFsORB%mn,SFsDRB%mn,SFsTRB%mn,SFsAST%mn,SFsSTL%mn,SFsBLK%mn,SFsTOV%mn,SFsUSG%mn,SFsOWSmn,SFsDWSmn,SFsWSmn,SFsWS/48mn,SFsOBPMmn,SFsDBPMmn,SFsBPMmn,SFsVORPmn,SFsMPGmn,SFsadvotesmn,SFO_clustermn,SFD_clustermn,SFD_clustmn,SFO_clustmn,SFO_SSmn,SFD_SSmn,SGsPERmn,SGsTS%mn,SGs3PArmn,SGsFTrmn,SGsORB%mn,SGsDRB%mn,SGsTRB%mn,SGsAST%mn,SGsSTL%mn,SGsBLK%mn,SGsTOV%mn,SGsUSG%mn,SGsOWSmn,SGsDWSmn,SGsWSmn,SGsWS/48mn,SGsOBPMmn,SGsDBPMmn,SGsBPMmn,SGsVORPmn,SGsMPGmn,SGsadvotesmn,SGO_clustermn,SGD_clustermn,SGD_clustmn,SGO_clustmn,SGO_SSmn,SGD_SSmn,CsPERmn,CsTS%mn,Cs3PArmn,CsFTrmn,CsORB%mn,CsDRB%mn,CsTRB%mn,CsAST%mn,CsSTL%mn,CsBLK%mn,CsTOV%mn,CsUSG%mn,CsOWSmn,CsDWSmn,CsWSmn,CsWS/48mn,CsOBPMmn,CsDBPMmn,CsBPMmn,CsVORPmn,CsMPGmn,Csadvotesmn,CO_clustermn,CD_clustermn,CD_clustmn,CO_clustmn,CO_SSmn,CD_SSmn,MPGmean,HomeCourt_x,HomeCourt_y
0,Atlanta Hawks 05-06,63.8,23.3,6.0,2782.0,1.0437500000000002,0.4364820846905538,0.6288209606986899,0.07953340402969247,0.27682737169517885,0.33157894736842103,0.502262443438914,0.5555555555555556,0.34688995215311,0.4390243902439025,0.056818181818181816,0.408284023668639,0.6200000000000001,0.17919075144508667,0.16666666666666669,0.1422018348623853,0.3752711496746204,0.47150259067357525,0.5086206896551724,0.428,0.16417910447761194,0.9000928801677727,0.0,4.0,9.0,1.3310245292923248,6.080478782318234,-0.3372340425531913,0.6935329341317376,0.2334385521885522,0.5788147522522521,0.34900877723970947,0.46380859375,0.18679906542056077,0.27435096153846156,0.26659902597402596,0.26728303747534515,0.3287946428571428,0.1582720588235294,0.3157499999999999,0.22825520833333335,0.19119152046783627,0.16075819672131147,0.12447916666666665,0.40596955128205126,0.299375,0.4819444444444444,0.32532439446366784,0.11245629370629368,0.4350918036596101,0.0,8.91875,6.25625,0.3617647058823529,0.125,5.583657770800627,1.0200984751186384,0.557063282248957,0.6625678626224477,0.07745919273594909,0.36810570739419884,0.5786497703991522,0.669907169846527,0.8221754807692307,0.251255980861244,0.3792208672086721,0.5503517316017317,0.4228240122160717,0.43436194029850744,0.37723891453621444,0.2869986631016043,0.3089372661575521,0.6129111470066236,0.5417058702308055,0.7389802631578948,0.5965368421052631,0.24141956148461235,0.6921468658235239,0.0,11.793749999999998,5.49375,5.958711270375482,5.815196103352376,1.3473443596775383,2.82502018042511,0.45712342383543486,0.6276154156339744,0.27058967391304345,0.28739027039960163,0.28182974214058637,0.28637315156038623,0.3704126602564103,0.32206937799043056,0.4688888888888888,0.13894074675324675,0.3562065756823821,0.4120398009950248,0.3387506304069519,0.19001782531194295,0.26260667059607395,0.5557240614644595,0.549603744700895,0.5461240925589835,0.5467026315789474,0.2662007991018359,0.5831722654970609,0.023653846153846154,16.912499999999998,1.5374999999999999,2.9376113846320995,5.4060979317677775,5.010469957869507,0.6135572134379121,0.41944901315789473,0.5731452338129497,0.0034438775510204087,0.4076159892638037,0.4905913978494624,0.36814983443708604,0.41697716346153846,0.16808333333333333,0.4449324324324324,0.16773255813953486,0.3381981382978724,0.3854105029585799,0.25377798507462684,0.1479166666666667,0.1995564516129032,0.5022169338677355,0.502046783625731,0.4946898496240602,0.49330947136563874,0.226123595505618,0.3748256890795214,0.0,14.11875,6.4125,0.37058823529411766,5.455960043841964,1.6814022470690406,1.0454862368844966,0.9000928801677727,0.0,0.0
1,Atlanta Hawks 06-07,56.5,24.8,7.0,2647.0,1.05,0.36951492537313435,0.524285095320624,0.3258634868421052,0.24525426405559067,0.3055837563451777,0.33801229508196723,0.3189130434782609,0.13986486486486488,0.3496794871794872,0.060591603053435125,0.2667067307692308,0.3467499999999998,0.2238905325443787,0.0891304347826087,0.1730168269230769,0.43119897959183673,0.42641625615763556,0.3395454545454546,0.334704641350211,0.11974789915966384,0.5479555318703049,0.0,5.3625,6.512500000000001,0.3,1.5028362769009038,4.480065411232365,1.0295819582916108,0.4531986531986532,0.6799549549549548,0.32784503631961265,0.6055468749999999,0.17102803738317762,0.23576923076923081,0.23409090909090907,0.4200197238658777,0.3857142857142857,0.061764705882352944,0.22236363636363635,0.3940476190476191,0.28859649122807013,0.30901639344262294,0.24289215686274507,0.505982905982906,0.4481818181818181,0.4810185185185185,0.43788927335640143,0.17867132867132862,0.636075225519164,0.0,9.549999999999999,6.5,3.9460023132349233,6.550687489295648,3.3841230231844004,0.9477663135669692,0.4945602605863192,0.647423580786026,0.11179215270413573,0.3133670295489891,0.4398947368421053,0.6490045248868778,0.7437499999999999,0.2863636363636364,0.35341463414634156,0.7015909090909092,0.43863905325443775,0.47950000000000004,0.22092485549132945,0.33090909090909093,0.2225229357798165,0.46737527114967464,0.42761658031088096,0.8037931034482759,0.52248,0.2554477611940299,0.7206118466427688,0.0,1.05,6.300000000000001,2.5675106088668067,1.9565594803123163,-0.31027681660899675,3.1874221453287173,0.548364195514406,0.7428257405877492,0.3689834703075291,0.29145619465020706,0.3511577181208054,0.4491409712179876,0.4947035256410256,0.37604592134438086,0.38809214092140926,0.16048024891774892,0.36311295094483675,0.5378482587064677,0.47530754160685884,0.19986631016042783,0.3806045307775101,0.6115462588111561,0.6289885774846915,0.5183802177858439,0.5996780701754386,0.3179873860784573,0.829654015539451,0.021966618287373004,16.8875,6.2524999999999995,3.768913111116752,9.305572447027265,4.575688423317355,1.5204160024529754,0.4825205592105262,0.6063758992805754,0.006149781341107871,0.3884537960122699,0.56,0.4086754966887417,0.46832331730769217,0.19777666666666668,0.4848986486486485,0.16116279069767442,0.2802061170212766,0.420573224852071,0.30108208955223875,0.37681089743589746,0.31786290322580646,0.5554584168336674,0.5694663742690058,0.5354793233082706,0.5412885462555066,0.25074438202247185,0.6501709458990793,0.0,13.931249999999999,1.15625,5.102814448287138,6.386300017719326,1.6631513854376976,0.865181494593437,0.8184460935928828,0.0,0.0
2,Atlanta Hawks 07-08,59.1,25.1,8.0,2642.25,1.0437500000000002,0.5137781977733482,0.6239085239871945,0.12423203899694886,0.2939683090358386,0.4815610472882714,0.6834233056400364,0.7366259057971014,0.29731693715246343,0.46230769230769225,0.5754999783136711,0.4841457100591717,0.5189916666666666,0.18784070698088037,0.45959568511198945,0.24235472168313335,0.49412496126433225,0.4407429362668777,0.7716016849529779,0.5285540084388186,0.2961996738994105,0.724533115847513,0.028384615384615387,5.33,5.842499999999999,7.435672206976408,4.005295004166795,0.1888877984758211,3.5270754139891247,0.4505957377017549,0.6725225225225226,0.3824089588377724,0.4069921875,0.1754672897196262,0.23358822363203802,0.21436840936840934,0.3264497041420118,0.23523809523809525,0.07689775910364147,0.2664639296187683,0.4507809168443497,0.2872807017543859,0.19106557377049183,0.21669117647058822,0.534698797934092,0.5072727272727273,0.329074074074074,0.41035087719298247,0.1269230769230769,0.47882354036692465,0.00605625,10.370000000000001,8.0,0.9996539193528473,4.281370849898476,3.7182414042072605,1.1093203883495149,0.5323041972013689,0.7666681040791004,0.13335725686498853,0.35847503880779097,0.40386573505442824,0.456512210866458,0.5533308946488295,0.2263113442389758,0.39125,0.21961506766134628,0.33541583556022136,0.40864029850746253,0.39386254098362533,0.2522677865612648,0.3324174972303592,0.6277954064883694,0.5880059325612748,0.5772167546609469,0.5829440706195869,0.26811898342747476,0.8060013906131193,0.0,9.948749999999999,7.273750000000001,4.347747229718797,7.539562363387796,0.5311679605101005,1.6775394767941685,0.6693409742120344,0.6635135135135137,0.26760000000000006,0.2706860706860707,0.2,0.31340206185567004,0.3299145299145299,0.5481152993348115,0.32888888888888884,0.1238095238095238,0.3445161290322581,0.6453731343283582,0.4939597315436242,0.20784313725490197,0.38882681564245813,0.6584670231729056,0.7272727272727273,0.351578947368421,0.6610526315789473,0.3309734513274337,0.9836723463708953,0.03608490566037736,10.2,1.6,3.3450371447055858,10.329489166026661,4.9962046270442775,0.5714947405271149,0.5455427631578946,0.6621942446043165,0.0035860058309037895,0.472726226993865,0.5984677419354838,0.35637417218543044,0.4553365384615384,0.24381333333333333,0.5429729729729729,0.10488372093023254,0.34184840425531915,0.5082544378698225,0.36104477611940294,0.25230769230769234,0.34651612903225804,0.5611823647294588,0.6317836257309941,0.44236842105263147,0.5635242290748897,0.2856179775280898,0.7520956162863285,0.0,8.61,1.025,0.48235294117647054,6.580057775538672,0.5525549645390073,0.7524327354260091,0.792181223940257,0.0,0.0
3,Atlanta Hawks 08-09,67.0,25.4,9.0,2836.75,1.025,0.6147289124410521,0.6130885925544715,0.1251895022883295,0.2851792126491719,0.34699385519636655,0.6008654773384763,0.5923212560386473,0.38981281520755207,0.5626923076923077,0.561189278278973,0.4251627218934911,0.6464333333333332,0.1960951876047474,0.6646969696969696,0.3268046489061397,0.53004238788791,0.5062656014701754,0.8672335423197491,0.6404303797468354,0.45885237677160406,0.8845037074999073,0.10363714373276126,4.1,7.174999999999999,10.914401140197063,6.232490751876189,-0.345664893617021,4.7981388888888885,0.35570286195286194,0.5614583333333334,0.3631128934624697,0.37811523437499994,0.14672897196261683,0.19826923076923078,0.1922483766233766,0.29230769230769227,0.2552455357142857,0.037500000000000006,0.26155681818181814,0.37522321428571426,0.27309941520467834,0.24682377049180326,0.22824754901960784,0.38615117521367515,0.4030965909090909,0.32980324074074074,0.35410899653979244,0.16324300699300698,0.5718264329558436,0.0,14.41875,6.574999999999999,3.3541019662496847,6.172567208018071,2.515648046150276,0.9511996675027975,0.43332967626192415,0.6237384145363226,0.1651739607170099,0.2959869104711159,0.33081968892267805,0.3615248647007586,0.39855212397807493,0.190335708856248,0.32319444444444445,0.115402730618618,0.2654615026722657,0.4503662313432836,0.28789233665028197,0.25364130434782606,0.2571905185142109,0.5174307275463923,0.4563872793054722,0.44887564964527304,0.4334297979125028,0.13878039087118138,0.7312210149688847,0.0,7.906249999999999,6.227499999999999,2.426791422639478,3.3462436826952677,0.9038136098046128,0.8920993410961133,0.5893128997713526,0.6141891891891892,0.26998002421307504,0.3406175285862786,0.27884965188483973,0.30396907216494845,0.3250277500277501,0.5168678413518938,0.3390873015873016,0.10028011204481793,0.32041055718475075,0.5979797441364605,0.42316613681855647,0.30840565734490516,0.3575911929017418,0.6155868641162758,0.6456818181818182,0.46771929824561403,0.6068961330662297,0.3000185655052912,0.8402097181409695,0.02029775943396226,13.7,4.699999999999999,4.47213595499958,8.563231449298906,6.464399267086172,0.7539014238279143,0.47574835526315784,0.6385971223021583,0.011206268221574344,0.43908358895705524,0.5587903225806451,0.48602649006622506,0.5356610576923075,0.20745999999999998,0.3850675675675675,0.13348837209302325,0.32222074468085116,0.4836908284023669,0.29832089552238805,0.3009294871794872,0.32006451612903225,0.5433116232464928,0.5472660818713451,0.4631766917293233,0.5120484581497797,0.25221910112359547,0.6527428862149913,0.0,12.299999999999999,7.0725,4.050316376431871,5.370194725125757,1.3934117636416272,1.43743384188627,0.8611458322130797,0.0,0.0
4,Atlanta Hawks 09-10,72.3,27.9,10.0,2779.5,1.0187499999999998,0.5701982276119403,0.5884539387554082,0.08486845302030584,0.2475773798681543,0.3899742099230391,0.40969535971483373,0.3920139005016722,0.27892056306306307,0.4834658697158697,0.30788633942836857,0.30039885092744134,0.5509595660749504,0.2120115031352115,0.4735855629877368,0.2878761631513648,0.5442762719316183,0.5067015599343185,0.6705308441558442,0.5684239484005279,0.3596006042866584,0.7795901181687233,0.08330677290836652,3.5974999999999997,6.845,7.483977006000827,5.517546620555474,-0.308854915151292,2.3642456202030546,0.4882154882154882,0.704954954954955,0.5157384987893462,0.265625,0.14953271028037385,0.2884615384615385,0.2792207792207792,0.34714003944773175,0.2857142857142857,0.08823529411764706,0.15454545454545454,0.3720238095238096,0.45029239766081863,0.4918032786885246,0.4411764705882353,0.579059829059829,0.5545454545454546,0.48148148148148145,0.5190311418685122,0.31468531468531463,0.790295618713516,0.0,19.0,2.0,5.2613364176465645,9.682458365518542,3.5982954545454504,0.4631040892193319,0.44283387622149833,0.7508215065502182,0.45139050901378575,0.2934554821150855,0.30511842105263154,0.43781108597285057,0.504548611111111,0.15808911483253588,0.37271341463414637,0.11619318181818179,0.22673076923076918,0.4343916666666666,0.3484248554913294,0.3238446969696969,0.3231422018348623,0.5758107375271149,0.5210103626943006,0.5549353448275861,0.48092499999999994,0.20842350746268656,0.7340084897083421,0.0,13.9475,2.49875,6.123295223733227,3.420294884961493,1.1987309750905832,1.0401969583112067,0.604906876790831,0.6026182432432434,0.2998125,0.25870582120582125,0.14941275167785234,0.3068943298969072,0.30032051282051286,0.5366962305986697,0.2880555555555555,0.10238095238095238,0.2716532258064516,0.5932089552238806,0.500755033557047,0.3938725490196079,0.4483938547486034,0.6419786096256686,0.6682386363636365,0.4103947368421052,0.6313157894736842,0.355641592920354,0.9187919629087923,0.02414504716981132,14.5625,5.3,5.500338162872069,11.401180000293804,7.662387689469487,1.0776765151724244,0.4859292763157894,0.6585566546762589,0.010422740524781341,0.4554447852760736,0.5268279569892473,0.5095198675496687,0.5389903846153845,0.22076666666666667,0.35020270270270265,0.18339147286821705,0.3465425531914894,0.3883653846153846,0.3188805970149253,0.32596153846153847,0.3495806451612903,0.5827204408817634,0.5488011695906433,0.5579887218045112,0.5452643171806167,0.2870505617977528,0.625963755917448,0.004194078947368421,11.157499999999999,8.5,4.763325008500205,7.151420627539096,0.929616544990963,1.382616433670556,0.9271103852629871,1.0,0.0
5,Atlanta Hawks 10-11,65.5,28.1,11.0,2489.75,1.0187499999999998,0.5523880597014926,0.5633448873483535,0.05279605263157894,0.22849020846494,0.4418781725888325,0.3993169398907104,0.41108695652173904,0.3173423423423424,0.48717948717948717,0.25839694656488554,0.36794871794871803,0.5103333333333331,0.26301775147928996,0.5173913043478261,0.346875,0.5536734693877551,0.4982758620689657,0.6977272727272728,0.5740506329113925,0.42605042016806727,0.6963337163098621,0.17211155378486057,5.199999999999999,7.05,7.4063131305044365,7.26744230548297,0.3130739024869582,2.8525065676756136,0.3947138047138047,0.6620045045045043,0.5430871670702179,0.21048437499999997,0.11542056074766356,0.2411538461538462,0.22454545454545452,0.29155818540433925,0.24089285714285713,0.05029411764705883,0.15821818181818179,0.2770833333333334,0.38111111111111107,0.3924590163934426,0.3604411764705882,0.5294017094017093,0.4905454545454545,0.4257407407407407,0.45560553633217993,0.23517482517482513,0.6478376857135558,0.0,14.629999999999999,1.9,4.998269596764236,6.683497956057006,1.86104948388265,0.43994888475836524,0.3963166049111934,0.7097816593886461,0.35274390243902437,0.27144221473537183,0.2818157894736842,0.4304416429537714,0.47395699786324785,0.20216098727972923,0.4136585365853659,0.16053841991341988,0.3012743367054781,0.3700190298507463,0.3038728323699421,0.29511363636363636,0.27935779816513756,0.5545607375271149,0.5069818652849742,0.5898083030852993,0.47104631578947365,0.1992723880597015,0.5659768748650749,0.0,14.6725,2.2024999999999997,4.6783273118508575,4.519109678191346,2.700652345435833,1.2359475016015384,0.6660458452722062,0.6956081081081081,0.35664999999999997,0.27895010395010394,0.16577181208053693,0.36494845360824746,0.3542735042735042,0.4843680709534368,0.31555555555555553,0.0869047619047619,0.23693548387096774,0.6288059701492537,0.5590604026845637,0.5009803921568627,0.5243016759776536,0.7341354723707665,0.7200000000000001,0.43999999999999995,0.6771929824561405,0.38053097345132747,0.8702792760978072,0.02830188679245283,18.0,1.5,7.851896167041807,12.727922061357857,9.686956521739132,1.2874671987754212,0.5806784539473683,0.7052293165467624,0.01495444606413994,0.430643213190184,0.5788978494623656,0.5243667218543044,0.5223497596153845,0.26389999999999997,0.40604729729729716,0.2009108527131783,0.2868450797872341,0.39487056213017757,0.50125,0.43487179487179484,0.5631370967741935,0.675568637274549,0.6535672514619882,0.592359022556391,0.6654735682819382,0.4737640449438202,0.7607016685139372,0.008092105263157894,12.83875,3.1500000000000004,6.903666802419269,10.400434472047959,1.4459870889352333,1.380448856918845,0.8733233269248647,0.0,1.0
6,Atlanta Hawks 11-12,53.9,29.2,12.0,2329.0,1.025,0.6513432835820896,0.6124783362218371,0.10043859649122805,0.22185723310170563,0.34111675126903557,0.5147540983606558,0.47913043478260864,0.4022522522522523,0.5538461538461539,0.29770992366412213,0.35897435897435903,0.5833333333333331,0.3029585798816568,0.6869565217391305,0.4355769230769231,0.6114285714285714,0.5763546798029557,0.7927272727272727,0.6818565400843881,0.5294117647058822,0.8516925007301321,0.1944223107569721,4.2,7.0,10.648196234338599,9.9111733838502,1.244248873472299,4.681111111111111,0.39205387205387204,0.6122297297297297,0.18762711864406778,0.4449140625,0.11112149532710282,0.31775000000000003,0.2862012987012987,0.35217948717948716,0.4026785714285714,0.5064705882352941,0.2597909090909091,0.3575297619047619,0.20739766081871344,0.2587704918032787,0.16882352941176465,0.47439102564102564,0.3261363636363636,0.5637499999999999,0.3738235294117647,0.129020979020979,0.23834073708285394,0.0,14.349999999999998,6.1499999999999995,2.506379403893787,0.8876760388790497,6.332687074829928,3.111531141868509,0.45664692297823206,0.6683097712153663,0.3849340570175438,0.24888777026218709,0.2529548490515629,0.5308036339039978,0.5296474358974359,0.2947505543237251,0.45429487179487177,0.2565067248273355,0.3737406947890819,0.3820186567164179,0.2509179695077007,0.2774064171122995,0.21416764901850238,0.5460735497117404,0.5196341804746978,0.5780172413793103,0.5270780590717299,0.20174481296943558,0.5408420157775241,0.0015950904702240563,13.05,3.7874999999999996,4.66129077360873,5.958817562915163,1.7680217888690706,1.2233826775021401,0.5630372492836677,0.6132882882882883,0.2792,0.21153846153846156,0.148993288590604,0.37216494845360826,0.3452991452991453,0.4991130820399113,0.33999999999999997,0.14047619047619048,0.29838709677419356,0.5367164179104478,0.36241610738255037,0.403921568627451,0.33128491620111733,0.6456327985739752,0.6172727272727274,0.48842105263157887,0.6182456140350878,0.2557522123893806,0.803072985436067,0.05849056603773585,11.1,2.8000000000000003,5.20574382928496,8.262600145330573,3.829128883570448,0.9840574027967501,0.4203947368421052,0.6525179856115109,0.009329446064139942,0.5334355828220859,0.5763440860215053,0.4158940397350993,0.4923076923076923,0.17173333333333335,0.4378378378378378,0.12868217054263564,0.33351063829787236,0.33136094674556216,0.25970149253731345,0.2128205128205129,0.24129032258064517,0.5875751503006011,0.52046783625731,0.49624060150375937,0.5127753303964758,0.20674157303370785,0.34353606809120385,0.0,15.0,1.0,0.47058823529411764,6.9282032302755105,1.8535460992907804,0.7340807174887894,0.8546441821977522,1.0,0.0
7,Atlanta Hawks 12-13,59.5,27.6,13.0,2683.0,1.025,0.6638805970149254,0.5726169844020799,0.1300438596491228,0.18749210360075808,0.3055837563451777,0.5754098360655737,0.5147826086956522,0.4324324324324325,0.5282051282051283,0.2809160305343511,0.308974358974359,0.6906666666666664,0.2485207100591716,0.6869565217391305,0.3913461538461538,0.6077551020408163,0.5596059113300493,0.7836363636363637,0.6666666666666666,0.46722689075630247,0.8550608443574295,0.12111553784860557,5.0,7.0,10.648196234338599,8.73053390247253,1.8690366972477068,4.681111111111111,0.4665993265993265,0.711036036036036,0.2437167070217917,0.4686171875,0.11686915887850469,0.24284615384615385,0.22896103896103892,0.3497534516765286,0.41366071428571427,0.4763235294117647,0.24599999999999997,0.3502083333333333,0.3152923976608187,0.4671311475409836,0.320563725490196,0.573386752136752,0.42956818181818174,0.6093055555555555,0.47171280276816613,0.2121678321678321,0.571562758099051,0.0,13.12,2.46,6.3625326529142505,3.1225704155516194,3.4780389017882594,2.2053992214532863,0.4595437872749504,0.7365587749321374,0.5790004241781549,0.2445857030615973,0.28827975980219,0.4406131921444231,0.49500534188034184,0.23215661103979457,0.26430894308943087,0.1830357142857143,0.32711872494750904,0.3159850746268657,0.33764984288319044,0.39861853832442073,0.320096355901799,0.6997216003340796,0.5985032972209139,0.5815199637023594,0.6152315789473685,0.23580438515387664,0.45740095711471196,0.0,13.15,6.95,5.83309429519515,5.785116741072716,1.6781036269507374,1.0153291661810868,0.5347254782784868,0.6773648648648649,0.5310433191940616,0.5708808147089397,0.1518628865332748,0.2531301021598171,0.23792735042735041,0.43299286704539985,0.27547619047619043,0.14901960784313728,0.25954696420205103,0.4885487739872068,0.381961615448016,0.26840244294439086,0.31701856720341764,0.6237213766625531,0.6040909090909091,0.41704325468844516,0.5452085230376982,0.2023794789281515,0.6582603092995851,0.010757812500000002,14.350000000000001,8.0,2.893735029705611,9.02613673860997,2.938854948568249,1.1093203883495149,0.5468749999999999,0.6494829136690647,0.003717201166180758,0.37166411042944786,0.4872311827956989,0.4578228476821192,0.48671875,0.34576666666666667,0.4094594594594594,0.1400193798449612,0.282280585106383,0.3794378698224852,0.4805037313432836,0.3881410256410257,0.5295967741935484,0.6153557114228456,0.618640350877193,0.5539473684210526,0.6305616740088106,0.5005617977528091,0.7069136837239389,0.07828947368421052,11.8875,4.5625,8.142596335446301,9.179410343840775,1.4554113412525376,3.2919546403763302,0.8525316661078,0.0,1.0
8,Atlanta Hawks 13-14,61.1,28.0,14.0,2482.0,1.0125,0.6716417910447762,0.6291161178509532,0.04539473684210525,0.22905874921036007,0.42842639593908627,0.4497267759562842,0.4643478260869565,0.30765765765765773,0.6512820512820513,0.1847328244274809,0.2596153846153846,0.5506666666666664,0.42248520710059173,0.42028985507246375,0.4413461538461537,0.6775510204081633,0.6571428571428573,0.6581818181818182,0.691139240506329,0.47731092436974787,0.760104781264015,0.0,11.0,2.0,6.735132003045309,10.666666666666666,0.08405797101449285,1.723468643655809,0.5450551358860815,0.6900900900900901,0.34991234866828086,0.3963851351351352,0.12270200871855988,0.25482754262490087,0.23431048118548115,0.44240456229199193,0.3726190476190476,0.24411764705882355,0.25197653958944277,0.4781689765458423,0.35974331802661014,0.43220829315332693,0.34575528535436517,0.6263894602129896,0.5390909090909091,0.46280701754385956,0.5163321799307959,0.2104400024754007,0.688321512934027,0.0,13.498750000000001,4.185,4.514927896112895,6.530100002155301,3.8720091815441453,0.9346299013327138,0.43517915309446253,0.6842794759825326,0.5117179215270413,0.20011664074650076,0.3905263157894736,0.4097285067873303,0.48368055555555556,0.1833732057416268,0.6,0.16136363636363638,0.239792899408284,0.4405000000000001,0.2323699421965318,0.16363636363636364,0.18348623853211005,0.5630151843817788,0.539378238341969,0.5831896551724138,0.5115999999999999,0.1925373134328358,0.3910660531990184,0.0,10.3,8.0,3.156285544087787,4.10204627669473,1.3154922718810884,1.6473501756816946,0.4365887645483139,0.8142440693969076,0.6665087168610817,0.12082219197304733,0.08700671140939598,0.37368055231608893,0.31737713675213675,0.23358093126385807,0.33221680216802174,0.14753787878787877,0.24385932429853022,0.29506716417910445,0.3620813127982309,0.40336898395721926,0.3509171749269642,0.6469525676569188,0.6029076778144136,0.5857931034482758,0.6031599999999999,0.3023913617751948,0.586773239917137,0.0,12.35,0.0,8.279645279331543,5.006939628599934,0.8228286852589642,1.484142156862745,0.5838651315789474,0.6487924391855666,0.005758017492711371,0.17554054001681982,0.4113974400960645,0.4688886476314551,0.4511245819397993,0.37980180180180184,0.454009009009009,0.2587839517131191,0.28656573922531375,0.46702662721893495,0.3891417910447761,0.4433974358974359,0.4714838709677419,0.6183667334669337,0.6014035087719298,0.6226691729323308,0.6516519823788546,0.44769662921348313,0.7540756525235786,0.037901290090460525,13.565000000000001,7.199999999999999,7.676922909728027,9.84227089025354,2.7684102604038827,3.5025414263744707,0.7792706480150124,0.0,0.0
9,Atlanta Hawks 14-15,64.1,29.1,15.0,2418.0,1.0187499999999998,0.6171641791044776,0.6294627383015599,0.19736842105263158,0.22713202779532535,0.3642131979695432,0.46188524590163926,0.4484782608695652,0.3043918918918919,0.5307692307692309,0.1553435114503817,0.2889423076923077,0.599333333333333,0.3076923076923077,0.41884057971014493,0.3497596153846153,0.6037755102040816,0.5679802955665025,0.5650000000000001,0.5715189873417721,0.3773109243697479,0.6670683209637931,0.001792828685258964,7.549999999999999,7.05,7.4063131305044365,7.990079254237621,1.067212773971603,2.8525065676756136,0.4816919191919191,0.6860219594594593,0.41166010895883776,0.42253906249999995,0.14766355140186915,0.2780048076923076,0.2681412337662337,0.5397189349112426,0.2917410714285714,0.1443014705882353,0.2559318181818182,0.4518787202380952,0.3604166666666666,0.400922131147541,0.3368872549019607,0.5284188034188034,0.46025568181818177,0.4127314814814814,0.41740916955017304,0.16756993006993004,0.6622577235643795,0.0045000000000000005,5.7625,2.0374999999999996,5.359986475477437,6.8254000902505965,3.136784420289855,0.47178729089219434,0.4510915318779575,0.7251760494118572,0.45658647932131496,0.19447132561440492,0.32793535853055455,0.4356987918085553,0.5116185897435896,0.20404072820632513,0.5939837398373984,0.23482142857142857,0.29671215880893304,0.31550746268656715,0.3110039958102184,0.4913101604278075,0.32356491210086613,0.6608442469869036,0.5736964201601508,0.7441288566243194,0.6532315789473684,0.3009576013736627,0.6001159047537279,0.10304063860667635,16.95,5.6000000000000005,5.8297529879486385,7.1383585804715,2.6385763607247634,2.780035812672176,0.45365707512389986,0.8569284786970377,0.6447258112407211,0.1296610870949907,0.06608053691275168,0.4319382376265335,0.3534081196581197,0.25809312638580933,0.33829268292682924,0.16470779220779216,0.29965890437106313,0.2734676616915423,0.39525778795049854,0.4067557932263815,0.37334888011890727,0.6270592875288551,0.6034536033914273,0.5958620689655171,0.61944,0.33442609959054287,0.7177651174753983,0.0,15.770000000000001,0.0,8.279645279331543,7.5217771197855425,2.380159883194492,1.484142156862745,0.5648355263157894,0.6511241007194244,0.4161078717201166,0.16710889570552148,0.3659139784946236,0.4524834437086092,0.4320673076923077,0.32733333333333337,0.37945945945945936,0.2845736434108527,0.21954787234042558,0.5028846153846154,0.2969402985074627,0.29076923076923084,0.31896774193548383,0.5814228456913827,0.6298245614035087,0.5922556390977443,0.6133039647577092,0.33202247191011236,0.6543649185734938,0.031747211657072366,12.925,7.475,3.963575396058296,7.278261609502791,1.2455100873103333,3.212952326028449,0.7450812546418546,1.0,0.0
