index,TM_x,G_x,Age_x,YR_x,MP_x,AgeMulti_x,PFsPERmn,PFsTS%mn,PFs3PArmn,PFsFTrmn,PFsORB%mn,PFsDRB%mn,PFsTRB%mn,PFsAST%mn,PFsSTL%mn,PFsBLK%mn,PFsTOV%mn,PFsUSG%mn,PFsOWSmn,PFsDWSmn,PFsWSmn,PFsWS/48mn,PFsOBPMmn,PFsDBPMmn,PFsBPMmn,PFsVORPmn,PFsMPGmn,PFsadvotesmn,PFO_clustermn,PFD_clustermn,PFD_clustmn,PFO_clustmn,PGsPERmn,PGsTS%mn,PGs3PArmn,PGsFTrmn,PGsORB%mn,PGsDRB%mn,PGsTRB%mn,PGsAST%mn,PGsSTL%mn,PGsBLK%mn,PGsTOV%mn,PGsUSG%mn,PGsOWSmn,PGsDWSmn,PGsWSmn,PGsWS/48mn,PGsOBPMmn,PGsDBPMmn,PGsBPMmn,PGsVORPmn,PGsMPGmn,PGsadvotesmn,PGO_clustermn,PGD_clustermn,PGD_clustmn,PGO_clustmn,SFsPERmn,SFsTS%mn,SFs3PArmn,SFsFTrmn,SFsORB%mn,SFsDRB%mn,SFsTRB%mn,SFsAST%mn,SFsSTL%mn,SFsBLK%mn,SFsTOV%mn,SFsUSG%mn,SFsOWSmn,SFsDWSmn,SFsWSmn,SFsWS/48mn,SFsOBPMmn,SFsDBPMmn,SFsBPMmn,SFsVORPmn,SFsMPGmn,SFsadvotesmn,SFO_clustermn,SFD_clustermn,SFD_clustmn,SFO_clustmn,SGsPERmn,SGsTS%mn,SGs3PArmn,SGsFTrmn,SGsORB%mn,SGsDRB%mn,SGsTRB%mn,SGsAST%mn,SGsSTL%mn,SGsBLK%mn,SGsTOV%mn,SGsUSG%mn,SGsOWSmn,SGsDWSmn,SGsWSmn,SGsWS/48mn,SGsOBPMmn,SGsDBPMmn,SGsBPMmn,SGsVORPmn,SGsMPGmn,SGsadvotesmn,SGO_clustermn,SGD_clustermn,SGD_clustmn,SGO_clustmn,CsPERmn,CsTS%mn,Cs3PArmn,CsFTrmn,CsORB%mn,CsDRB%mn,CsTRB%mn,CsAST%mn,CsSTL%mn,CsBLK%mn,CsTOV%mn,CsUSG%mn,CsOWSmn,CsDWSmn,CsWSmn,CsWS/48mn,CsOBPMmn,CsDBPMmn,CsBPMmn,CsVORPmn,CsMPGmn,Csadvotesmn,CO_clustermn,CD_clustermn,CD_clustmn,CO_clustmn,MPGmean,HomeCourt_x,HomeCourt_y
0,Atlanta Hawks 05-06,61.166666666666664,23.666666666666668,6.0,1620.9166666666667,1.1216666666666666,0.6686746987951809,0.33866666666666667,0.07499999999999998,0.17799999999999996,0.19749216300940442,0.35933806146572106,0.4338842975206613,0.3468899521531101,0.174757281553398,0.0568181818181818,0.30399999999999994,0.4644549763033175,0.1791907514450867,0.1666666666666667,0.14220183486238527,0.6699206833435022,0.6722532588454374,0.7110091743119266,0.7704654895666133,0.16417910447761194,0.9066819326768948,0.0,1.0,1.0,0.3333333333333333,10.666666666666666,0.5396959459459458,0.4947619047619048,0.12599999999999997,0.07675,0.13636363636363638,0.15432098765432098,0.1808510638297873,0.42275042444821725,0.14782608695652175,0.06730769230769229,0.21533333333333335,0.3890243902439025,0.28654970760233917,0.09836065573770492,0.18627450980392157,0.5640216411181244,0.5861618798955615,0.447004608294931,0.6088709677419357,0.10489510489510485,0.499222363051724,0.0,4.0,3.5,0.6380711874576984,5.766346035225552,0.5988541922793215,0.44152666666666646,0.07747000000000001,0.23900500000000005,0.21928652037617558,0.4577744760093507,0.4699702584618625,0.2979249011857707,0.17489344068197968,0.5180681818181817,0.3252437781109445,0.3831985010470627,0.37687997051635175,0.3326158645276292,0.3234371636512736,0.5897645598223121,0.5795325541560493,0.9966954834156673,0.7282389097464118,0.2777024171179501,0.8450625439487872,0.0,15.245000000000003,3.2600000000000002,2.678308675062268,7.679716658103188,0.4846242111302352,0.3742111111111111,0.2773333333333334,0.15831250000000005,0.0982666144200627,0.21690230287341902,0.21798617325542632,0.33963958810068656,0.18831004814902522,0.11327651515151516,0.24321026986506752,0.3421867078143943,0.35953918868241724,0.20164884135472375,0.2783431995626398,0.501995500041272,0.5201292004521999,0.7896215596330275,0.6144981189504847,0.28238288645269227,0.6404754802755656,0.025000000000000005,12.491666666666669,5.483333333333332,2.397072388607327,5.24466494798921,0.45394368450523953,0.4960735171261486,0.0018950437317784257,0.09159166666666668,0.09881666666666666,0.22727415801070192,0.22444828247937054,0.07225053078556264,0.1318222222222222,0.07760878749471904,0.2395179738562092,0.22826666666666665,0.2264096185737977,0.11267806267806273,0.15559139784946233,0.5461836306849783,0.6517478152309611,0.601812555260831,0.682356608478803,0.21491885143570535,0.3375649266641434,0.0,4.494444444444444,5.6000000000000005,0.7490094052568614,0.9139504733564054,0.5864589894274579,0.0,0.0
1,Atlanta Hawks 06-07,43.833333333333336,24.333333333333332,7.0,1137.3333333333333,1.133333333333333,0.3484583041345481,0.2843984962406015,0.36125,0.008925,0.03484999999999999,0.10709999999999999,0.08067129629629631,0.08753387533875338,0.12252252252252259,0.016113744075829384,0.13033333333333338,0.18382936507936506,0.07544378698224852,0.03695652173913044,0.0408653846153846,0.41576086956521746,0.4699285714285714,0.512111801242236,0.6393059490084987,0.12142857142857143,0.3970781904155433,0.0,11.900000000000004,5.1000000000000005,0.8013876853447536,1.133333333333333,0.5632507507507509,0.4948465608465608,0.14075555555555555,0.08134861111111108,0.15942760942760945,0.14820693709582597,0.18272261623325456,0.4105546123372948,0.16734299516908221,0.055982905982905985,0.17792592592592596,0.428238482384824,0.2934048083170889,0.1875227686703097,0.21772875816993464,0.5830177336940187,0.6100377139541631,0.47396313364055304,0.6386536738351255,0.1365578865578865,0.5514456795788879,0.0,6.933333333333334,4.705555555555555,1.4667737040209057,6.872065927921391,0.8177349397590364,0.4019199999999999,0.12047999999999993,0.23028,0.29943573667711604,0.5038297872340427,0.6297520661157023,0.3272727272727272,0.1607766990291262,0.8018181818181821,0.37248,0.41800947867298577,0.252485549132948,0.37818181818181823,0.2543119266055046,0.8274801708358753,0.7789944134078209,1.0172477064220184,0.9580738362760837,0.29194029850746267,0.8483835223636736,0.0,15.599999999999996,8.400000000000002,5.3161196116076095,5.3999999999999995,0.5189388062453898,0.4186533333333333,0.20752,0.16587,0.13736915360501567,0.27852239259347306,0.2848323419487287,0.3881583107967548,0.16344778593417006,0.14354545454545456,0.258664227886057,0.35704926705610057,0.5118873414284052,0.2176470588235295,0.4098713546204706,0.5252384229861116,0.5495598717646084,0.7929551870148203,0.647375960129108,0.3415480121516312,0.8951196888122747,0.021966618287373004,15.56,1.5999999999999999,1.5333333333333332,9.818727316386907,0.4855100746810613,0.5137071846282373,0.004983155166828636,0.06150185185185184,0.09662555555555553,0.23212810827824992,0.22176253758075862,0.1412879130489819,0.11974878878878882,0.056611464509037195,0.17745751633986928,0.28307633156966483,0.2610889830924274,0.2410547504025766,0.26173524951750765,0.5669740819488857,0.6593262885678616,0.5602091811237238,0.7119449526953782,0.23858066072871098,0.543946226869637,0.0,7.412222222222222,4.372222222222222,1.69671764093212,3.232234252054658,0.6518421213090743,0.0,0.0
2,Atlanta Hawks 07-08,58.75,23.5,8.0,1468.3333333333333,1.133333333333333,0.8426024096385542,0.40287999999999996,0.17832,0.23088,0.28739811912225705,0.5526241134751774,0.6674380165289255,0.42086124401913866,0.20038834951456308,0.8372727272727273,0.38064000000000003,0.5124170616113741,0.23167630057803465,0.6072727272727273,0.3071559633027522,0.8362660158633316,0.798212290502793,1.0667889908256882,0.9919743178170145,0.41194029850746267,0.9796159193954656,0.04430769230769232,6.959999999999998,7.920000000000001,7.782090232584536,9.84,0.4863983857901268,0.46545813492063504,0.3313206250000001,0.07420651041666664,0.10030574494949496,0.14373278411647436,0.14589786048245015,0.3632083210304864,0.1119844026157653,0.039093215811965815,0.17661229760119937,0.45504010682548673,0.32054351132305037,0.23004198810671808,0.2548920849764486,0.5011416041018997,0.5440792095580781,0.49487239798731736,0.5666066838892888,0.15403709491098871,0.579845039548863,0.00277578125,7.730625000000001,4.255,1.731425128765639,6.113967800841475,0.4921364645688569,0.49119298245614035,0.11753999999999999,0.14219,0.0995671473354232,0.22962539773102467,0.20490015236323864,0.1796385014401423,0.14569058758023948,0.12855019388194747,0.21137391304347822,0.2920113051282454,0.3496445641073081,0.2337549407114624,0.2987580970103649,0.534587232971564,0.5839302830880139,0.7289668379088002,0.7485266279994711,0.22993869797291522,0.8502280585846317,0.0,10.739999999999997,1.4000000000000001,1.0666666666666667,6.195890042649762,0.2669642857142857,0.3664,0.2676,0.13019999999999995,0.029799999999999997,0.17281191806331472,0.09649681528662422,0.5373913043478262,0.12032520325203254,0.08666666666666667,0.19760119940029988,0.5120930232558141,0.4939597315436242,0.20784313725490197,0.3888268156424582,0.22484435220871632,0.29577464788732394,0.6615384615384617,0.3587454764776839,0.3309734513274338,0.9687170901544592,0.03608490566037736,16.0,2.0,2.6666666666666665,12.727922061357857,0.4827381809455243,0.5244881735588972,0.003543488824101069,0.08113145833333335,0.12193166666666667,0.26619334277620404,0.2672869890616004,0.10503237791932062,0.15486666666666665,0.06805291508238277,0.2609699754901961,0.29311999999999994,0.30369092039801,0.2627136752136752,0.2955887096774193,0.563546239250417,0.6831489934456929,0.6043003978779838,0.70941604322527,0.25940074906367044,0.6754357480522674,0.0,9.106250000000001,3.784999999999999,1.3162144558494548,4.763662262842712,0.7454630870933413,0.0,0.0
3,Atlanta Hawks 08-09,61.0,25.0,9.0,1577.25,1.0833333333333333,0.7138614500046437,0.5137996992481203,0.13608,0.14328000000000002,0.15886796238244516,0.3851778723404255,0.3921694214876032,0.3491282530050181,0.24239307268433483,0.5340542869452821,0.30527999999999994,0.520054163845633,0.22957485378116763,0.7781818181818182,0.38260056457304165,0.7297320173261229,0.7661305666400638,0.9725750755028776,1.0362678986354068,0.5371930264643171,1.0462411928667243,0.12133129022372048,9.120000000000001,6.0,9.050966799187806,9.497944723269129,0.4935705236486488,0.40727182539682544,0.27670625,0.05082916666666667,0.07989267676767678,0.15126396237507347,0.16919326241134758,0.4567876344086022,0.2001449275362319,0.03705929487179486,0.20757222222222227,0.4144766260162603,0.19635721247563345,0.22544398907103833,0.1563112745098039,0.5046569732491734,0.5509083986074849,0.46854838709677415,0.5934937836021505,0.1299679487179487,0.6408209417760632,0.0,5.606249999999999,1.1479166666666667,0.8159722222222223,7.53090277777778,0.46872906332938685,0.4301709273182958,0.18562000000000003,0.14368,0.09956633228840127,0.23277091485399581,0.2278789194785142,0.17715840381827988,0.1301287885090869,0.08933003015941403,0.17383196401799103,0.3511444211763841,0.35224597497930005,0.30987212276214837,0.3107899291523913,0.4975749087171968,0.5156858081881922,0.7541828411583097,0.6369859426969303,0.19158858048568786,0.7645470854459903,0.0,15.599999999999996,4.859999999999999,2.6982556539863194,6.884789412714439,0.3391219663541092,0.38688571428571433,0.22909999999999997,0.11305,0.06375454545454544,0.15840205728473886,0.11539503997831684,0.47864508747324125,0.143739837398374,0.07974358974358975,0.204632083958021,0.4902892796369824,0.33987990109501937,0.2844744455159112,0.2813095629313178,0.31357972676992313,0.358990294447949,0.6275138839654968,0.4218600431923421,0.23445138931864604,0.7370487151611179,0.01353183962264151,14.900000000000004,4.6000000000000005,2.595971942921224,8.331303003260667,0.44580528189840124,0.4539630325814537,0.01779625850340136,0.11509907407407406,0.10256999999999998,0.25243327038086244,0.22992861654832722,0.051560008975885946,0.12651363363363363,0.08569325060017578,0.2544213507625273,0.275040811287478,0.19494568577232183,0.09824724389941782,0.13137961814171492,0.5307415491490554,0.6043760477973961,0.5609816703369926,0.6677046485140626,0.17169336648517086,0.3282324869263475,0.0,5.92777777777778,3.938888888888888,1.2804038242643376,1.4926802876892769,0.6653308408209347,1.0,0.0
4,Atlanta Hawks 09-10,66.75,26.916666666666668,10.0,1632.5,1.0625,0.4458491194565681,0.4572686925647451,0.040341985746679625,0.055940185185185176,0.07260249999999997,0.21885442241107966,0.18216454508624913,0.10679797831594734,0.12271285285285283,0.12140635355410195,0.18759153594771238,0.30645847442680785,0.18819795254496743,0.25681051034311897,0.18520004480286736,0.5121252033422065,0.5830632044765469,0.5923737352935254,0.7070116827069876,0.25017866322558985,0.5287521125693057,0.03913235945108456,6.75138888888889,4.01111111111111,2.963472833036788,2.8812710307010847,0.593581081081081,0.5112380952380953,0.4375999999999998,0.042300000000000004,0.08787878787878788,0.18236331569664907,0.20567375886524827,0.469949066213922,0.1582608695652174,0.04230769230769232,0.16746666666666668,0.46487804878048783,0.37309941520467843,0.3672131147540983,0.3392156862745099,0.6077547339945896,0.6720626631853789,0.5032258064516129,0.6995967741935482,0.25034965034965034,0.7862922210183818,0.0,11.799999999999999,1.5999999999999999,1.7333333333333332,10.07614168597779,0.6443023112859602,0.41176000000000007,0.32498000000000005,0.16839,0.17325078369905958,0.31068188121557905,0.3734015897246934,0.16492822966507178,0.15220617254716237,0.10878787878787877,0.1784298050974513,0.3400969910724126,0.3788928114210343,0.34877005347593576,0.3458628465993541,0.6970214026000899,0.6727829460648723,0.7984509527170075,0.7809633529344566,0.23533615110289263,0.7539624474318306,0.0,13.920000000000002,4.2,3.697829885863166,8.76956766892021,0.3133512977262977,0.37794603174603175,0.25198888888888893,0.18759027777777781,0.059377777777777786,0.1796902249416216,0.13177767990242578,0.39296613436349165,0.14637956089705828,0.10490740740740741,0.1925140762951857,0.39554011470347267,0.3895953530358334,0.2434015500553591,0.3122777230072663,0.29862530833487283,0.3517437714142749,0.658152726902727,0.414096257528395,0.25541700187717886,0.6945279516564121,0.011625393081761007,13.316666666666663,3.9555555555555553,2.620883118622487,8.532537687993267,0.4570578353731701,0.4992857142857143,0.007288629737609328,0.08824222222222222,0.10161333333333333,0.2881964117091597,0.26341968911917096,0.09418259023354565,0.10112,0.08202788339670466,0.2560588235294117,0.22191999999999998,0.27781094527363187,0.25982905982905985,0.27432258064516135,0.5499730458221025,0.6529588014981272,0.6106100795755969,0.6881961762261016,0.2605243445692884,0.5921998561526162,0.0027960526315789474,5.759999999999999,4.8,1.6952060277213754,4.67950375517418,0.682740309890824,1.0,1.0
5,Atlanta Hawks 10-11,57.25,27.416666666666668,11.0,1463.5,1.0208333333333333,0.4807930390095773,0.4599859022556392,0.046925000000000015,0.05185277777777777,0.08797500000000001,0.170775,0.1497010030864197,0.1666440831074978,0.14264264264264262,0.13218799368088466,0.19191111111111112,0.3214616402116403,0.21888560157790934,0.40507246376811584,0.2737580128205127,0.5401979813664598,0.5965833333333331,0.6724896480331263,0.8277974504249294,0.34271708683473395,0.5840662471039334,0.12430278884462152,6.841666666666669,4.633333333333334,4.258354171145652,5.190519055314103,0.5382263513513514,0.4889333333333334,0.44859000000000004,0.033677499999999985,0.09356060606060605,0.15749559082892414,0.1798936170212766,0.3574193548387097,0.1420869565217391,0.032884615384615394,0.14262666666666668,0.3707317073170732,0.3811111111111111,0.39245901639344266,0.3604411764705882,0.5840486925157798,0.6265535248041775,0.492073732718894,0.6619354838709678,0.23517482517482513,0.6606433641025984,0.0,8.36,1.3299999999999998,1.2033333333333331,7.628410020154088,0.577125686419146,0.3481488888888889,0.297,0.13425499999999999,0.14661818181818184,0.26860339597888633,0.3197394325419803,0.17201477012689823,0.15116268055884444,0.12542929292929292,0.18092630684657673,0.27258936772107717,0.2596182643441827,0.2451693404634581,0.22579092136060006,0.6328381823113974,0.6058750814585262,0.7200592017564494,0.7051918386524857,0.17644784924932863,0.5277676874273433,0.0,12.446666666666667,4.933333333333334,3.386562305504588,4.94955726275551,0.32890754274682843,0.3964476190476191,0.3245,0.1148,0.03526666666666667,0.1760574620909816,0.11017188417581425,0.4237022957112276,0.11018734535171439,0.057051282051282064,0.1464247876061969,0.49888258650028366,0.5171553043683034,0.3993892639022823,0.4621426224120934,0.30279956168127686,0.3660455603676285,0.6318681318681317,0.4206330985641466,0.32317593910514264,0.8509671323906565,0.018867924528301886,16.599999999999998,3.2999999999999994,4.637902832994919,12.118829322189995,0.42168916486681063,0.4663807957393484,0.01246325315840622,0.06419121527777776,0.08938083333333335,0.252533640226629,0.23115608808290156,0.07263349256900213,0.08999999999999998,0.10006812420785804,0.22583486519607843,0.21549749999999998,0.288174751243781,0.21337339743589748,0.26884274193548385,0.5060030804774741,0.5962991573033706,0.5545347038019451,0.6264645677472984,0.26937031835206,0.4580828236002808,0.003971482661732456,4.614583333333333,4.637291666666666,1.982606048381,3.741148478468713,0.6395535827832671,0.0,1.0
6,Atlanta Hawks 11-12,46.25,29.75,12.0,1082.0833333333333,0.9791666666666666,0.520812894183602,0.5060150375939851,0.0916,0.058533333333333326,0.07320000000000002,0.2214,0.1703703703703703,0.24200542005420056,0.1945945945945946,0.1848341232227488,0.19066666666666668,0.37896825396825395,0.3029585798816568,0.6869565217391305,0.4355769230769231,0.5604037267080745,0.6357142857142858,0.7335403726708075,0.8932011331444761,0.5294117647058822,0.8612781422379427,0.19442231075697206,9.599999999999998,5.0,7.542472332656506,8.32114031175762,0.5230088682432433,0.4485035714285714,0.23687749999999988,0.053580625000000014,0.08943181818181821,0.17972001763668424,0.2021099290780142,0.36464558573853983,0.19363043478260875,0.20937499999999995,0.18807500000000002,0.48381402439024396,0.17334795321637422,0.2441393442622952,0.13444852941176463,0.5473805229936879,0.5414131853785902,0.5291186635944701,0.6090826612903226,0.10658216783216783,0.27427429924638336,0.0,7.430000000000002,4.3425,3.0187824456495442,2.6475645844256346,0.3782518213424397,0.3571388596491229,0.30302749999999995,0.12427791666666665,0.06579863636363638,0.2439402439346514,0.19379988421661123,0.24068381899025973,0.11135518599347631,0.19662638230647708,0.19211704147926034,0.27782445516874593,0.20512947818487784,0.19276873595287916,0.16414455060853242,0.40608751217147204,0.42427342237063687,0.6753898977551501,0.5390122298619531,0.16490663455978088,0.4819633474181077,0.001807769199587264,9.2025,3.3599999999999994,2.7685847388312594,4.674714107702905,0.23575680272108843,0.35084444444444446,0.2704666666666667,0.09823333333333333,0.01826666666666666,0.1882060831781502,0.09447983014861995,0.40507246376811595,0.11436314363143629,0.07444444444444444,0.16551724137931031,0.3787596899224806,0.32214765100671144,0.3555555555555556,0.28528864059590314,0.2195276213064532,0.26074395088479596,0.69508547008547,0.33116204262163246,0.2029498525073747,0.6987354153678288,0.0389937106918239,13.0,4.533333333333332,3.716829724699281,6.8923743696867765,0.42586453083753284,0.5070204808897243,0.014614310009718167,0.07373802083333332,0.08939270833333333,0.26681391643059493,0.24081174438687392,0.09579644373673035,0.09026333333333332,0.0912959442332066,0.24205147058823528,0.19368208333333334,0.33057835820895526,0.2567841880341881,0.32805107526881716,0.5124395937620333,0.6057765683520598,0.567311560565871,0.6433294368246053,0.32078885767790255,0.4924383518501532,0.022697179247761323,4.059375,5.296666666666668,3.4215518245336565,4.152467841953913,0.60735262111625,1.0,0.0
7,Atlanta Hawks 12-13,55.583333333333336,26.083333333333332,13.0,1406.8333333333333,1.0333333333333334,0.5237561317449194,0.48439849624060144,0.11860000000000002,0.049466666666666666,0.06620000000000002,0.24359999999999996,0.17986111111111105,0.2601626016260163,0.18558558558558566,0.17440758293838862,0.16986666666666664,0.442857142857143,0.24852071005917156,0.6869565217391305,0.39134615384615384,0.5597049689440994,0.6308571428571428,0.7304347826086958,0.888101983002833,0.4672268907563026,0.864428777828591,0.12111553784860553,12.0,5.0,7.542472332656506,6.080478782318234,0.5864864864864865,0.5133333333333334,0.1964,0.07315000000000002,0.09242424242424242,0.15802469135802472,0.1822695035460993,0.40577249575551794,0.2226086956521738,0.3038461538461538,0.20400000000000004,0.43121951219512206,0.3076023391812866,0.4557377049180327,0.3127450980392156,0.6156898106402162,0.6036553524804179,0.5907834101382489,0.6854838709677419,0.20699300699300696,0.5763702319029509,0.0,3.399999999999999,1.1999999999999997,4.0693678903269515,6.746410161513775,0.40944120871240064,0.3765222222222222,0.5462083333333334,0.12283333333333334,0.10385229885057473,0.2564418602603555,0.24933651804670912,0.20369088482074751,0.09822466913989526,0.150625,0.20467148925537224,0.24035370513244433,0.30358847034177766,0.31903594771241833,0.27399415714212505,0.45203594009806786,0.4551501123438333,0.7391724006116208,0.553269166600512,0.21549388015673845,0.4674480744574378,0.0,12.591666666666663,6.708333333333333,4.361721370827449,7.036299735130066,0.44141489928965716,0.4208928571428571,0.4329666666666668,0.1010114583333333,0.05279012974573321,0.1561658752205459,0.13200343604396417,0.3450693740758884,0.12248970155383272,0.08439078282828283,0.15981738297517908,0.418720512437958,0.33204187913715794,0.21873508469458322,0.26095849379250785,0.4473227392819876,0.4892582827074805,0.5842830133083353,0.5321233079647368,0.17741506666186369,0.5943306531112155,0.011654296875000003,7.512499999999999,4.104166666666667,1.684139194859747,8.292664236292863,0.456067514598832,0.5065371762740184,0.0072400388726919325,0.05657314814814814,0.09443888888888889,0.28912496065470566,0.25755133371713684,0.12709837225760798,0.12217777777777779,0.0811364596535699,0.20352941176470593,0.2552555555555555,0.2874378109452736,0.23390313390313397,0.27308243727598563,0.5337248106789886,0.6332162921348313,0.587916298261126,0.6715295095594347,0.285143570536829,0.6061471057707178,0.037694931773879135,7.5555555555555545,4.127777777777778,2.2252366840502344,4.920533139211,0.6273346649297722,0.0,1.0
8,Atlanta Hawks 13-14,54.25,26.833333333333332,14.0,1291.0,1.0525,0.5255781359495445,0.5150375939849624,0.0414,0.06043333333333333,0.09040000000000002,0.1976,0.16643518518518513,0.1850948509485095,0.22882882882882874,0.11469194312796206,0.14933333333333335,0.3595238095238095,0.42248520710059173,0.4202898550724638,0.4413461538461538,0.5729813664596275,0.6591428571428571,0.6875776397515526,0.8963172804532581,0.4773109243697479,0.7756100630438431,0.0,6.0,2.0,2.6666666666666665,11.682132605916705,0.5463384621866764,0.5095687830687831,0.33427222222222214,0.08282499999999998,0.07088316498316498,0.1581917526879248,0.16010682216299507,0.49156894105295956,0.1841675503711558,0.12207264957264959,0.22099925592759173,0.49227610764479746,0.32687114878919904,0.35695917711346836,0.292522608050048,0.5597262310990943,0.5776703154815168,0.5763632872503842,0.6283888721351026,0.191145285393073,0.5980508467935172,0.0,5.422222222222221,4.238888888888889,2.0570852358499017,8.254761215246129,0.640240963855422,0.3437222222222222,0.40410833333333335,0.08979583333333331,0.17460815047021946,0.2825256107171001,0.36181129476584023,0.14659090909090908,0.18430420711974113,0.09299242424242425,0.18195000000000006,0.3222946287519748,0.18092485549132942,0.11742424242424243,0.12866972477064223,0.7020286760219646,0.678026070763501,0.7015672782874615,0.7710540395933654,0.14962686567164182,0.41656010321312276,0.0,11.149999999999997,4.8,2.613191594132615,3.8494452527253333,0.4664098229653308,0.3940599999999999,0.6427699999999998,0.06745000000000001,0.029042006269592472,0.2519707595388089,0.2106032531452335,0.23165217391304346,0.1287062909464046,0.12853787878787878,0.17381952023988004,0.23461534222418165,0.3620813127982308,0.40336898395721926,0.35091717492696434,0.5129117455904993,0.518647778376317,0.7206122088920254,0.6178613541620279,0.3023913617751948,0.6045969845749894,0.0,7.98,4.5600000000000005,3.3816122045152146,7.266678724196599,0.44045215822117556,0.45026119987468666,0.004372448979591838,0.04470868055555557,0.09981458333333333,0.2568428942398489,0.24097512073818195,0.12239159747754591,0.11442285285285286,0.10451698112074194,0.1821823937908497,0.2821832142857143,0.2665081949718861,0.2444576830174656,0.26267959057071966,0.5131837460168648,0.6042794442215089,0.5756247494384675,0.6548628281750767,0.3023776870298681,0.5309357009885106,0.024795489394873905,6.1954166666666675,4.417916666666668,2.897248569207468,3.9483087673886463,0.6209482879824784,0.0,0.0
9,Atlanta Hawks 14-15,63.166666666666664,27.916666666666668,15.0,1501.3333333333333,1.0166666666666666,0.5056061667834619,0.5148496240601502,0.16639999999999996,0.05541666666666666,0.07769999999999999,0.19750000000000004,0.1596064814814815,0.1559620596205962,0.14954954954954958,0.07061611374407582,0.15453333333333336,0.3845238095238095,0.26982248520710067,0.3217391304347825,0.28798076923076915,0.5546195652173914,0.6231428571428573,0.6177018633540373,0.8287535410764875,0.29915966386554615,0.5786045079165989,0.0011952191235059758,12.1,4.299999999999999,3.078917745604904,5.674497364172237,0.5795608108108109,0.5136190476190476,0.30929999999999996,0.05820000000000002,0.08939393939393937,0.15767195767195766,0.17978723404255323,0.5373514431239389,0.1608695652173913,0.06538461538461537,0.2245333333333334,0.4890243902439026,0.31403508771929817,0.3262295081967213,0.27696078431372545,0.5936880072137061,0.6114882506527416,0.48894009216589857,0.6461693548387097,0.15314685314685314,0.5686881125870294,0.0030000000000000005,4.5,4.0,1.804737854124365,7.9685647168069815,0.44474704942217863,0.37199999999999994,0.41319999999999985,0.10845,0.12439655172413794,0.26432901462023056,0.2691609201452861,0.1952850010401498,0.22135922330097088,0.1575,0.1868038980509745,0.21862118373195197,0.30791403188889316,0.4336007130124777,0.3108169750397211,0.4787650268696953,0.4818103867438985,0.7902846389084921,0.5954318475333372,0.29218068947298903,0.6110446115894972,0.07023222060957911,18.099999999999998,5.1000000000000005,4.523544304701139,7.759902409448461,0.28294026872797307,0.37434999999999996,0.5172500000000001,0.11174666666666662,0.022480705329153607,0.24437810091084786,0.14398336287016078,0.2583248792270531,0.12829000798098594,0.1656641414141414,0.24107909045477252,0.32634557968086025,0.27355476242817667,0.2408625470390177,0.21285727709155522,0.29138676664511515,0.3098281889205644,0.7495087920489297,0.39184936953054766,0.21171634453103216,0.42208474085026343,0.0,5.507777777777778,4.356666666666666,2.8480037373850897,3.1319511500343915,0.4553347732181426,0.49782894736842115,0.016005830903790087,0.03521833333333333,0.07945999999999999,0.29313031161473097,0.24873920552677029,0.14121019108280253,0.11231999999999999,0.1395817490494297,0.16849999999999996,0.30208000000000007,0.2969402985074627,0.29076923076923084,0.3189677419354839,0.5104466692337312,0.6088904494382021,0.5818832891246685,0.6556982543640898,0.3320224719101123,0.664656827413407,0.031747211657072366,6.1499999999999995,4.300000000000001,4.1965413638081515,4.999095647441231,0.6017176128672579,1.0,0.0
